Источник,ID,Sheet_ID,Название_листа,Название_проекта,Описание,Google_Sheets_URL,Исполнитель,Контрагент,Регион,Количество_товаров,Статус,Дата_создания
SheetMetadata,47,1ABuiOSjeP2uQbzLKGjslNj6OxooEGfIxqM2bQeQzdgA,google_sheet_20250923_154219,,,https://docs.google.com/spreadsheets/d/1ABuiOSjeP2uQbzLKGjslNj6OxooEGfIxqM2bQeQzdgA/edit,,,,1,completed,
SheetMetadata,48,1hlMvD_L3ra4NAgcpzMdUyPTbh6OYLzvB23ripTrDHsY,google_sheet_20250923_154232,,,https://docs.google.com/spreadsheets/d/1hlMvD_L3ra4NAgcpzMdUyPTbh6OYLzvB23ripTrDHsY/edit?gid=1860127244#gid=1860127244,,,,13,completed,
SheetMetadata,49,1HPRcElUJd224N1wYuVGsrpEJHsVL8HGhP67M9fxh8NE,google_sheet_20250923_154246,,,https://docs.google.com/spreadsheets/d/1HPRcElUJd224N1wYuVGsrpEJHsVL8HGhP67M9fxh8NE/edit,,,,12,completed,
SheetMetadata,50,1o2pbdHQh-cWFhm3x2X7OhetDQsnrIeldUqk0gPZGdkI,google_sheet_20250923_154254,,,https://docs.google.com/spreadsheets/d/1o2pbdHQh-cWFhm3x2X7OhetDQsnrIeldUqk0gPZGdkI/edit,,,,1,completed,
SheetMetadata,51,d,google_sheet_20250923_154306,,,https://docs.google.com/spreadsheets/d/1ieWELvo2yAnWWvKvyCNBK8f2eXEIM68EWMfs6zBZU4c,,,,2,completed,
SheetMetadata,52,1VET6F_49zuS0_RpaHLAMA_0yIIUe5e_WCoZ06m36V9Q,google_sheet_20250923_154313,,,https://docs.google.com/spreadsheets/d/1VET6F_49zuS0_RpaHLAMA_0yIIUe5e_WCoZ06m36V9Q/edit,,,,2,completed,
SheetMetadata,53,1oFevegLnqEC1GfCPz24bV1VVem8AyDcVGeuAExikfsI,google_sheet_20250923_154325,,,https://docs.google.com/spreadsheets/d/1oFevegLnqEC1GfCPz24bV1VVem8AyDcVGeuAExikfsI/edit,,,,1,completed,
SheetMetadata,54,1vqjQpaEbjT_LDx84pn8wnfe1GaSMbCEw2myIbIexn1s,google_sheet_20250923_154339,,,https://docs.google.com/spreadsheets/d/1vqjQpaEbjT_LDx84pn8wnfe1GaSMbCEw2myIbIexn1s/edit,,,,1,completed,
SheetMetadata,55,1F8qZie9Xa2-27wqGvAqYuMeuXglZFq8Ubd9GJSqvI2I,google_sheet_20250923_154349,,,https://docs.google.com/spreadsheets/d/1F8qZie9Xa2-27wqGvAqYuMeuXglZFq8Ubd9GJSqvI2I/edit,,,,1,completed,
SheetMetadata,56,18hGcTTFRk_wB6OnGFqV53aFQ-dYiBuX9A4vLlbiyk-o,google_sheet_20250923_154404,,,https://docs.google.com/spreadsheets/d/18hGcTTFRk_wB6OnGFqV53aFQ-dYiBuX9A4vLlbiyk-o/edit,,,,1,completed,
SheetMetadata,57,1ieWELvo2yAnWWvKvyCNBK8f2eXEIM68EWMfs6zBZU4c,google_sheet_20250923_Просчет-Межд_DSIR_Ruwaida__Брендированные_теннисны,,,https://docs.google.com/spreadsheets/d/1ieWELvo2yAnWWvKvyCNBK8f2eXEIM68EWMfs6zBZU4c,,,,2,completed,
SheetMetadata,58,1xBM0vZ09a0SbF-NPIxVrcdECqzORDyXeIjuW0LtwIno,google_sheet_20250923_Просчет-Межд_Gold_Apple__Мерч_на_продажу_1000-2000,,,https://docs.google.com/spreadsheets/d/1xBM0vZ09a0SbF-NPIxVrcdECqzORDyXeIjuW0LtwIno,,,,0,error,
SheetMetadata,59,1f_TuKLxM3xV7nR8pQkIgwfBUKLE0xBMccjZxFPrhcxw,google_sheet_20250923_Просчет-Межд_Gold_Apple__Стикеры_120тыс_шт_27-05-2,,,https://docs.google.com/spreadsheets/d/1f_TuKLxM3xV7nR8pQkIgwfBUKLE0xBMccjZxFPrhcxw,,,,1,completed,
SheetMetadata,60,1NJ_7eS1DdkklICqnq9-p-71eG6DLJRseRtPy2KXEjjo,google_sheet_20250923_Просчет-Межд_Zamna_Group__Веер_-_5000_шт_30-04-202,,,https://docs.google.com/spreadsheets/d/1NJ_7eS1DdkklICqnq9-p-71eG6DLJRseRtPy2KXEjjo,,,,1,completed,
SheetMetadata,61,1r3PV4HRi5ozJWfWZ9onUWJ9WyMC2EbezK99gFqBWReE,google_sheet_20250923_Просчет-ОАЭ_BHM_Capital__Подарки_партнерам_6_катег,,,https://docs.google.com/spreadsheets/d/1r3PV4HRi5ozJWfWZ9onUWJ9WyMC2EbezK99gFqBWReE,,,,1,completed,
SheetMetadata,62,1R7w1J6qHBWc7AY6tzmEsHvKsakHv5ZensEOac2P-iRU,google_sheet_20250923_Просчет-ОАЭ_Burjeel_Holdings_Saheer__Бутылки_и_кер,,,https://docs.google.com/spreadsheets/d/1R7w1J6qHBWc7AY6tzmEsHvKsakHv5ZensEOac2P-iRU,,,,1,completed,
SheetMetadata,63,1hE-deiIfgFGRNv-hVFNEiKw65gweFAW-dHwtgahKsNc,google_sheet_20250923_Просчет-ОАЭ_Elation_Avenue_Joanna__Пляжные_товары_,,,https://docs.google.com/spreadsheets/d/1hE-deiIfgFGRNv-hVFNEiKw65gweFAW-dHwtgahKsNc,,,,1,completed,
SheetMetadata,64,1WpVx-JifDPkoxJVLbj0q76Eh29bqDbx4ZiqH3x8-zjQ,google_sheet_20250923_Просчет-ОАЭ_Elite_Group_Holding_LTD__Мерч_для_парт,,,https://docs.google.com/spreadsheets/d/1WpVx-JifDPkoxJVLbj0q76Eh29bqDbx4ZiqH3x8-zjQ,,,,1,completed,
SheetMetadata,65,1rpZxmjgXlHRhlwWpBfEQERGlUj-ySeRPP0xGNBSL1Oo,google_sheet_20250923_Просчет-ОАЭ_Elite_Group_Holding_LTD__Флешка_225_шт,,,https://docs.google.com/spreadsheets/d/1rpZxmjgXlHRhlwWpBfEQERGlUj-ySeRPP0xGNBSL1Oo,,,,3,completed,
SheetMetadata,66,1RhCDbWvPWQyuUASvEOn_r3VVk_ZF_sNEc1shx7Io3ZI,google_sheet_20250923_Просчет-ОАЭ_Elite_Merit_Real_Estate__Брелок_и_сумк,,,https://docs.google.com/spreadsheets/d/1RhCDbWvPWQyuUASvEOn_r3VVk_ZF_sNEc1shx7Io3ZI,,,,1,completed,
SheetMetadata,67,1OtBqdSFbcaqPDQ3hGKjF1SPhe--s316V7XSU1tQ9A74,google_sheet_20250923_Просчет-ОАЭ_Elite_Merit_Real_Estate__Ежедневники_2,,,https://docs.google.com/spreadsheets/d/1OtBqdSFbcaqPDQ3hGKjF1SPhe--s316V7XSU1tQ9A74,,,,1,completed,
SheetMetadata,68,1YjRAzaaOq2V8SjANC35HVKzK8HiYzvnoHeU14-E3Ygw,google_sheet_20250923_Просчет-ОАЭ_Gold_Apple__Пакеты_40000-3000000шт_06-,,,https://docs.google.com/spreadsheets/d/1YjRAzaaOq2V8SjANC35HVKzK8HiYzvnoHeU14-E3Ygw,,,,2,completed,
SheetMetadata,69,1PQbSIq5BzLYksxD0K5BXTsSEcM5BPd1trtgrM3Os574,google_sheet_20250923_Просчет-ОАЭ_ISD_-_футбольный_клуб__Мерч_3_категори,,,https://docs.google.com/spreadsheets/d/1PQbSIq5BzLYksxD0K5BXTsSEcM5BPd1trtgrM3Os574,,,,0,error,
SheetMetadata,70,1Il6EVRKgEXPbbTBtSsvGNylZbmMf133X6o2PezwD0gc,google_sheet_20250923_Просчет-ОАЭ_Media_Makers__Таблетницы_100тыс_шт_21-,,,https://docs.google.com/spreadsheets/d/1Il6EVRKgEXPbbTBtSsvGNylZbmMf133X6o2PezwD0gc,,,,1,completed,
SheetMetadata,71,1g-qZrpCjvO3III5iRrg7nPykGLT4aE7WrqkaHCR7amM,google_sheet_20250923_Просчет-ОАЭ_Miriyam_Skin_Care__500шт_мягких_игруше,,,https://docs.google.com/spreadsheets/d/1g-qZrpCjvO3III5iRrg7nPykGLT4aE7WrqkaHCR7amM,,,,2,completed,
SheetMetadata,72,1h9Ht8T77Yn_pGGiBQr-eLghbUqWk7fTyErywJkjNJpU,google_sheet_20250923_Просчет-ОАЭ_Ольга_Group_IB__Коробочки_под_значки_-,,,https://docs.google.com/spreadsheets/d/1h9Ht8T77Yn_pGGiBQr-eLghbUqWk7fTyErywJkjNJpU/edit,,,,1,completed,
SheetMetadata,73,1dD4OssU45D82-8H1R9N4nlGFSR6Z_McLyoEBmKjVvN4,google_sheet_20250923_Просчет-РФ_83285_ЛК_Автомобильная_коллекция_4кварт,,,https://docs.google.com/spreadsheets/d/1dD4OssU45D82-8H1R9N4nlGFSR6Z_McLyoEBmKjVvN4/edit,,,,1,completed,
SheetMetadata,74,1qKPUh2z1toF2V9YpS-DdpilDZDQZTjVUW6Dj4cr5qVk,google_sheet_20250923_Просчет-РФ_79779040266__Рюкзак_для_пикника_с_холод,,,https://docs.google.com/spreadsheets/d/1qKPUh2z1toF2V9YpS-DdpilDZDQZTjVUW6Dj4cr5qVk/edit,,,,1,completed,
SheetMetadata,75,11zhsDFSy9Poa668lK19O5updX6aNMfssaoe4Tllz9Bg,google_sheet_20250923_Просчет-РФ_FW_Игра_Дженга_-_2_вариант_посчитать_-_,,,https://docs.google.com/spreadsheets/d/11zhsDFSy9Poa668lK19O5updX6aNMfssaoe4Tllz9Bg/edit,,,,2,completed,
SheetMetadata,76,1h6eLc03ntfsXBKJlqZv3IuXohdIkK4lwG3XBRhXvz6Y,google_sheet_20250923_Просчет-РФ_FW_Подставка_для_ноутбука_и_планшета_Sc,,,https://docs.google.com/spreadsheets/d/1h6eLc03ntfsXBKJlqZv3IuXohdIkK4lwG3XBRhXvz6Y/edit,,,,1,completed,
SheetMetadata,77,1RXhEFAUpO4d_dmGobh0mZHB29ER1UhXsAzfviaacB9w,google_sheet_20250923_Просчет-РФ_Irina_Popkova__Бутылки_и_очешники_24-06,,,https://docs.google.com/spreadsheets/d/1RXhEFAUpO4d_dmGobh0mZHB29ER1UhXsAzfviaacB9w/edit,,,,0,pending,
SheetMetadata,78,1BsWQ-d2ASE7cUYu92ByUHEYO7pvz9UVrhg8hsEJrK8c,google_sheet_20250923_Просчет-РФ_Marina__27-05-2025,,,https://docs.google.com/spreadsheets/d/1BsWQ-d2ASE7cUYu92ByUHEYO7pvz9UVrhg8hsEJrK8c/edit,,,,0,pending,
SheetMetadata,79,15xQb0SdBji2i9-FVeJcEj9LLGxSW4SCFvXPL0543o7w,google_sheet_20250923_Просчет-РФ_Romanova_Irina_MOWIH__13-05-2025,,,https://docs.google.com/spreadsheets/d/15xQb0SdBji2i9-FVeJcEj9LLGxSW4SCFvXPL0543o7w/edit,,,,0,pending,
SheetMetadata,80,1vgw2yhLVZzGUYobdxD2DKvKpg1v_QJ9y20WvB35IU6s,google_sheet_20250923_Просчет-РФ_RWB__велком_пак__еж_повер_ретрактор_бей,,,https://docs.google.com/spreadsheets/d/1vgw2yhLVZzGUYobdxD2DKvKpg1v_QJ9y20WvB35IU6s/edit,,,,0,pending,
SheetMetadata,81,1-uCSr-OGVdsBwzUeR1E41MSd6cwH5o9Y0NSk9_XCNZA,google_sheet_20250923_Просчет-РФ_RWB__велком_пак__ретрактор_бейдж_ланъяр,,,https://docs.google.com/spreadsheets/d/1-uCSr-OGVdsBwzUeR1E41MSd6cwH5o9Y0NSk9_XCNZA/edit,,,,0,pending,
SheetMetadata,82,108-zZ8pwdygh44fBfKCJjTOdakEFOvJrUWAYaqRRjCo,google_sheet_20250923_Просчет-РФ_XELLO_Брелоки_с_карабином_500_шт._Ирина,,,https://docs.google.com/spreadsheets/d/108-zZ8pwdygh44fBfKCJjTOdakEFOvJrUWAYaqRRjCo/edit,,,,0,pending,
SheetMetadata,83,1j5DaAArLVvICNzFTQoXR7-GdEFnOSitJFeh3tYkPH0c,google_sheet_20250923_Просчет-РФ_Александр__ЦОИ_-_1000_шт_30-06-2025,,,https://docs.google.com/spreadsheets/d/1j5DaAArLVvICNzFTQoXR7-GdEFnOSitJFeh3tYkPH0c/edit,,,,0,pending,
SheetMetadata,84,1wjPacaLriKi0l1Fl2YkMlsf2DTBfcWGdr3wyzvYa3BQ,google_sheet_20250923_Просчет-РФ_Александра__Игрушки_17-06-2025,,,https://docs.google.com/spreadsheets/d/1wjPacaLriKi0l1Fl2YkMlsf2DTBfcWGdr3wyzvYa3BQ/edit,,,,0,pending,
SheetMetadata,85,1qg67UHE_4EMrobXa5BcGjsm5qS0YTENQjIsL9wAWcqE,google_sheet_20250923_Просчет-РФ_Алла_Яндекс__Вязаные_носки,,,https://docs.google.com/spreadsheets/d/1qg67UHE_4EMrobXa5BcGjsm5qS0YTENQjIsL9wAWcqE/edit,,,,0,pending,
SheetMetadata,86,1ZCS9juftzhC0Entn2paN1ChKqfMjee_p-80g3HCsyKc,google_sheet_20250923_Просчет-РФ_Алла_Яндекс__Свечи_в_банках,,,https://docs.google.com/spreadsheets/d/1ZCS9juftzhC0Entn2paN1ChKqfMjee_p-80g3HCsyKc/edit,,,,0,pending,
SheetMetadata,87,1MKkfkGgocc22JiLn9STwLIxbLPqSLqkJZoiO72UwfEI,google_sheet_20250923_Просчет-РФ_Алла_Яндекс__Термосы_с_паттерном,,,https://docs.google.com/spreadsheets/d/1MKkfkGgocc22JiLn9STwLIxbLPqSLqkJZoiO72UwfEI/edit,,,,0,pending,
SheetMetadata,88,1BffNMJdqLEgZftRznjoZzRFkdFSXPWjjolib4zn_4OI,google_sheet_20250923_Просчет-РФ_Альбина_Миллениум__Кубки-вазы_21-05-202,,,https://docs.google.com/spreadsheets/d/1BffNMJdqLEgZftRznjoZzRFkdFSXPWjjolib4zn_4OI/edit,,,,0,pending,
SheetMetadata,89,1HiNw0iDS8z5_-OcHSBYsXTAG_cpyMvEwgiroaSbCk-k,google_sheet_20250923_Просчет-РФ_Анастасия__27-05-2025,,,https://docs.google.com/spreadsheets/d/1HiNw0iDS8z5_-OcHSBYsXTAG_cpyMvEwgiroaSbCk-k/edit,,,,0,pending,
SheetMetadata,90,1_F9-8GRc3aLPBTm5_grPiO3qiyZTh8xCBsCHiolErRc,google_sheet_20250923_Просчет-РФ_Анастасия_JoyInside__Елки_и_блендеры_35,,,https://docs.google.com/spreadsheets/d/1_F9-8GRc3aLPBTm5_grPiO3qiyZTh8xCBsCHiolErRc/edit,,,,0,pending,
SheetMetadata,91,1zcsFK-I_cFT0tE3VYSYljfTZRWSR73n4WbX9Fjw1IWM,google_sheet_20250923_Просчет-РФ_Анастасия_Ильина_Иллан__ВТБ_Новогодние_,,,https://docs.google.com/spreadsheets/d/1zcsFK-I_cFT0tE3VYSYljfTZRWSR73n4WbX9Fjw1IWM/edit,,,,0,pending,
SheetMetadata,92,1sUxKtF3zZJ86ODe4mmQN9g8u8G3KKzhSmtgtlddfg6Y,google_sheet_20250923_Просчет-РФ_Анастасия_ТМГ__Сквиш_2000_шт._27-06-202,,,https://docs.google.com/spreadsheets/d/1sUxKtF3zZJ86ODe4mmQN9g8u8G3KKzhSmtgtlddfg6Y/edit,,,,0,pending,
SheetMetadata,93,1HSfpYfwCdsDBGc7v_C9130XEsg_5kXeYapwMnvUOcus,google_sheet_20250923_Просчет-РФ_Анастасия_ТМГ__Флешки_Сток_1000_шт._26-,,,https://docs.google.com/spreadsheets/d/1HSfpYfwCdsDBGc7v_C9130XEsg_5kXeYapwMnvUOcus/edit,,,,0,pending,
SheetMetadata,94,14WxDjsfDU7Tl8WhMLFvX3swLQ6uKsxZSyVMeIwVp5A0,google_sheet_20250923_Просчет-РФ_Анна__Тарелки_-_300_шт_14-05-2025,,,https://docs.google.com/spreadsheets/d/14WxDjsfDU7Tl8WhMLFvX3swLQ6uKsxZSyVMeIwVp5A0/edit,,,,0,pending,
SheetMetadata,95,1Y08cZH3qNj6gk3C2RRN77Swsa6b7lHiRJB_OMavkJII,google_sheet_20250923_Просчет-РФ_Артем_Миронов__Худи_и_поло_27-06-2025,,,https://docs.google.com/spreadsheets/d/1Y08cZH3qNj6gk3C2RRN77Swsa6b7lHiRJB_OMavkJII/edit,,,,0,pending,
SheetMetadata,96,1DlxAReBn_yDcrxct5ptqDPXqPOlS2rnUESNwTrUiQlc,google_sheet_20250923_Просчет-РФ_Бейсболка_-_100_или_400_шт.,,,https://docs.google.com/spreadsheets/d/1DlxAReBn_yDcrxct5ptqDPXqPOlS2rnUESNwTrUiQlc/edit,,,,0,pending,
SheetMetadata,97,1ua9Apl0jCCihP1SnRIAQPTTt3suy0l9tQLPKjORtSC4,google_sheet_20250923_Просчет-РФ_Брелок_обвес_-_10_000_20_000_30_000_шт.,,,https://docs.google.com/spreadsheets/d/1ua9Apl0jCCihP1SnRIAQPTTt3suy0l9tQLPKjORtSC4/edit,,,,0,pending,
SheetMetadata,98,1An2xv9H-_ZN2z7sCX3AVASHV-thzU-tHMv3GLjJ2hHM,google_sheet_20250923_Просчет-РФ_Брелоки_-_10_000_шт.,,,https://docs.google.com/spreadsheets/d/1An2xv9H-_ZN2z7sCX3AVASHV-thzU-tHMv3GLjJ2hHM/edit,,,,0,pending,
SheetMetadata,99,1KoO0hTNrR9gvpBi05oP5wSxx-R6gF8L-s_72zcng-lU,google_sheet_20250923_Просчет-РФ_Брендированная_посуда_для_Яндекс_Еды,,,https://docs.google.com/spreadsheets/d/1KoO0hTNrR9gvpBi05oP5wSxx-R6gF8L-s_72zcng-lU/edit,,,,0,pending,
SheetMetadata,100,1OoKWNAzMcrnA85uexSE0xSyq1QChiECiutW5kgF95JA,google_sheet_20250923_Просчет-РФ_БСК_2026_год,,,https://docs.google.com/spreadsheets/d/1OoKWNAzMcrnA85uexSE0xSyq1QChiECiutW5kgF95JA/edit,,,,0,pending,
SheetMetadata,101,1-6wKJdWqEESQLg-Bqm6WXbHiqLB263JehvGKg2qAKK4,google_sheet_20250923_Просчет-РФ_Бутылки_-_1050_шт.,,,https://docs.google.com/spreadsheets/d/1-6wKJdWqEESQLg-Bqm6WXbHiqLB263JehvGKg2qAKK4/edit,,,,0,pending,
SheetMetadata,102,1k7MF5kQC9iJq7Il5hZo-pVle7IYFXeOwf3G2LjmGib4,google_sheet_20250923_Просчет-РФ_Валерия__Козырьки_-_500_шт_23-05-2025,,,https://docs.google.com/spreadsheets/d/1k7MF5kQC9iJq7Il5hZo-pVle7IYFXeOwf3G2LjmGib4/edit,,,,0,pending,
SheetMetadata,103,1rlIKH3eNf3vZKYFmivE5w0sIzlZrikwbLlSApCs83MU,google_sheet_20250923_Просчет-РФ_Варвара__24-06-2025,,,https://docs.google.com/spreadsheets/d/1rlIKH3eNf3vZKYFmivE5w0sIzlZrikwbLlSApCs83MU/edit,,,,0,pending,
SheetMetadata,104,1wCRjAO14htkbGoSodeKiSG9rV7fUJAPyOCTQww07VrU,google_sheet_20250923_Просчет-РФ_ВВ_мерч_для_внутреннего_шопа_для_сорудн,,,https://docs.google.com/spreadsheets/d/1wCRjAO14htkbGoSodeKiSG9rV7fUJAPyOCTQww07VrU/edit,,,,0,pending,
SheetMetadata,105,1VzI5iNzduLbgb1el7dKx4ULqHpBhXNnv2_kn0wgL8JA,google_sheet_20250923_Просчет-РФ_Веера_-_300_шт.,,,https://docs.google.com/spreadsheets/d/1VzI5iNzduLbgb1el7dKx4ULqHpBhXNnv2_kn0wgL8JA/edit,,,,0,pending,
SheetMetadata,106,1ebnO9rsHcLUupGp7OO6a848MbWPLjIUxgXZ8ONVLjkA,google_sheet_20250923_Просчет-РФ_Веера_1_000_штук,,,https://docs.google.com/spreadsheets/d/1ebnO9rsHcLUupGp7OO6a848MbWPLjIUxgXZ8ONVLjkA/edit,,,,0,pending,
SheetMetadata,107,1FWsMlbLjiL5-dRfleLd6oxK0R1TInUWb3_DgEclYWR0,google_sheet_20250923_Просчет-РФ_вентилятор_MANOVA,,,https://docs.google.com/spreadsheets/d/1FWsMlbLjiL5-dRfleLd6oxK0R1TInUWb3_DgEclYWR0/edit,,,,0,pending,
