Тип,Категория,Родитель,Товаров,Полнота_данных,Популярная_категория,Материал_рекомендуемый,Количество_диапазонов,Есть_диапазоны_БД,Есть_данные_CSV,Есть_ставки_транспорт,Есть_материалы,Есть_сертификаты,Медиана_цены_руб,Медиана_плотности,Медиана_тиража,Ставка_жд_базовая,Ставка_авиа_базовая,Сертификаты_требуемые
main,толстовка,,35,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,2574.487608024691,426.1363636363636,900.0,,,
main,конструктор,,34,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,809.573061728395,142.28298875038,2250.0,,,
main,таблетница,,34,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,229.4681840277812,248.1361231361231,1500.0,,,
main,ваза,,34,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,1558.49,187.4825481670589,375.0,,,
main,стикеры,,32,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,99.65131944444444,289.3518518518518,5500.0,,,
main,календарь,,32,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,920.3734438657407,390.625,675.0,,,
main,папка,,30,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,519.2510694444444,213.1782945736434,2700.0,,,
main,карабин,,30,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,78.015,480.34188035,2500.0,,,
main,детские_товары,,29,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,487.4467060185184,195.4495614035088,4500.0,,,
main,головоломка,,27,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,445.108375,352.0625927739308,975.0,,,
main,мышь,,26,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,1429.860909722222,236.0203340595497,1250.0,,,
main,зеркало,,25,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,159.9915138888889,380.0547279,4000.0,,,
main,вентилятор,,25,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,572.0797736111111,187.3370294,752.5,,,
main,чайник,,24,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,2628.397432659933,231.5892901007124,352.5,,,
main,доска,,24,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,765.4275090277777,256.7368032484312,2700.0,,,
main,лента,,24,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,148.405380952381,312.4999999999999,2850.0,,,
main,принтер,,24,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,5348.870603587962,311.9266764692247,285.0,,,
main,нож,,22,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,283.9144395833333,509.2946269416857,1500.0,,,
main,шкатулка,,22,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,1215.17046875,1333.333333333333,750.0,,,
main,штамп,,21,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,682.9634305555555,357.4696865705789,1500.0,,,
main,пазл,,21,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,344.9752724867725,367.4309229864785,4650.0,,,
main,ложка,,21,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,149.4180491666666,365.3846153846154,3600.0,,,
main,градусник,,20,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,352.984698125,312.6832128200118,950.0,,,
main,снежный_шар,,20,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,679.8095763888889,360.2117865198844,675.0,,,
main,маркер,,20,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,84.1878723611111,298.3502983502983,5000.0,,,
main,настольная_игра,,19,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,1455.113183333333,446.2242562929061,2500.0,,,
main,упаковка,,18,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,322.58,103.3868093,2500.0,,,
main,калькулятор,,17,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,528.9472476851852,288.1469444599103,1000.0,,,
main,рамка,,17,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,2544.699305555556,179.1183560763887,750.0,,,
main,шарик,,16,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,99.73377276234567,178.7593840764162,2701.25,,,
main,мультитул,,15,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,424.885,762.5154344388361,1500.0,,,
main,вебкамера,,15,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,2454.642410714286,224.4668911335577,1000.0,,,
main,ошейник,,15,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,717.6292638888889,93.74999999999999,750.0,,,
main,грелка,,14,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,709.696136574074,200.5347593582887,2250.0,,,
main,подсвечник,,14,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,846.5891979166666,240.5436047151605,1125.0,,,
main,портмоне,,13,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,357.4874907407407,231.8663609782031,2500.0,,,
main,линейка,,13,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,57.65885277777777,568.1818181818184,15000.0,,,
main,чайная_пара,,12,🔵 ТОЛЬКО БД,,,4,True,False,False,False,False,1162.26515625,248.1350485,945.0,,,
main,горшок,,12,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,745.1746354166667,176.8250792054449,735.0,,,
main,открывашка,,12,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,232.0822048611111,265.7312925,1225.0,,,
main,шейкер,,11,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,323.0554721693122,120.9933923013088,30000.0,,,
main,открытка,,10,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,170.683536091821,300.3246753246753,11250.0,,,
main,скрепки,,8,🔵 ТОЛЬКО БД,,,5,True,False,False,False,False,150.6875907407407,370.3703703703703,4000.0,,,
