Тип,Категория,Родитель,Товаров,Медиана_цены_руб,Медиана_цены_юань,Медиана_тиража,Медиана_плотности,Медиана_транспорта,Цена_руб_мин,Цена_руб_макс,Цена_руб_медиана,Цена_руб_среднее,Цена_руб_стд,Цена_руб_количество,Цена_юань_мин,Цена_юань_макс,Цена_юань_медиана,Цена_юань_среднее,Цена_юань_стд,Цена_юань_количество,Тираж_мин,Тираж_макс,Тираж_медиана,Тираж_среднее,Тираж_стд,Тираж_количество,Плотность_мин,Плотность_макс,Плотность_медиана,Плотность_среднее,Плотность_стд,Плотность_количество,Транспорт_мин,Транспорт_макс,Транспорт_медиана,Транспорт_среднее,Транспорт_стд,Транспорт_количество,Популярная_категория,Материал_рекомендуемый,Плотность_рекомендуемая,Ставка_жд_базовая,Ставка_авиа_базовая,Ставка_жд_по_плотности,Ставка_авиа_по_плотности,Сертификаты_требуемые
popular,Мыши,,43,340.1901874999999,6.0,500.0,573.120641895119,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Мыши,,,,,,,
popular,Колонка,,50,1195.560613425926,28.35,500.0,217.587138656043,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Колонка,,,,,,,
popular,"Наушники (и капельки, и полноразмерные)",,50,1995.04,40.0,1000.0,1.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Наушники (и капельки, и полноразмерные)",,,,,,,
popular,"Пауэрбанк, повербанк, павербанк, пзу, аккумулятор",,50,1773.83,55.5,1000.0,0.5,5.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пауэрбанк, повербанк, павербанк, пзу, аккумулятор",,,,,,,
popular,"Докстанция, док станция, беспроводная зарядка, мультизарядка",,50,1810.044305555556,58.0,300.0,103.0526172867793,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Докстанция, док станция, беспроводная зарядка, мультизарядка",,,,,,,
popular,Лампы настольные умные (с зарядкой),,50,1995.04,40.0,1000.0,1.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лампы настольные умные (с зарядкой),,,,,,,
popular,Лампа проектор - звездного неба,,50,2105.795277777777,49.5,1000.0,160.7475042116187,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Лампа проектор - звездного неба,,,,,,,
popular,"Лампа ночник, светильник",,50,1301.499229166667,35.5,962.5,38.7138350261619,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Лампа ночник, светильник",,,,,,,
popular,Значки,,44,146.0939119047619,3.905,700.0,0.022,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Значки,,,,,,,
popular,Брелки,,20,203.3176388888888,7.1,1200.0,58.53961229214778,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Брелки,,,,,,,
