Тип,Категория,Родитель,Товаров,Медиана_цены_руб,Медиана_цены_юань,Медиана_тиража,Медиана_плотности,Медиана_транспорта,Цена_руб_мин,Цена_руб_макс,Цена_руб_медиана,Цена_руб_среднее,Цена_руб_стд,Цена_руб_количество,Цена_юань_мин,Цена_юань_макс,Цена_юань_медиана,Цена_юань_среднее,Цена_юань_стд,Цена_юань_количество,Тираж_мин,Тираж_макс,Тираж_медиана,Тираж_среднее,Тираж_стд,Тираж_количество,Плотность_мин,Плотность_макс,Плотность_медиана,Плотность_среднее,Плотность_стд,Плотность_количество,Транспорт_мин,Транспорт_макс,Транспорт_медиана,Транспорт_среднее,Транспорт_стд,Транспорт_количество,Популярная_категория,Материал_рекомендуемый,Плотность_рекомендуемая,Ставка_жд_базовая,Ставка_авиа_базовая,Ставка_жд_по_плотности,Ставка_авиа_по_плотности,Сертификаты_требуемые
main,сумка,,775,511.3434958333333,12.0,1500.0,182.6651111890474,7.1,133.8038791092995,1976.110764324918,511.3434958333333,1138.670127412289,1815.668946668114,774,2.8,45.0,12.0,29.3604007368834,55.52011230078941,769,500.0,7500.0,1500.0,12875.86516129032,68527.4160613563,775,96.45061728395065,310.9020837415899,182.6651111890474,210.4894661131532,168.3291632591001,416,5.9,9.925,7.1,8.064301898573282,3.762581845296625,771,,,,,,,,
main,кружка,,495,791.2747499999999,17.225,752.5,193.452380952381,6.0,402.8749652700618,1973.20065625,791.2747499999999,1326.176590199794,1785.338429487571,495,7.095,45.0,17.225,32.86499093038461,57.1725093963124,494,300.0,6750.0,752.5,5908.765656565656,22645.36162626005,495,108.8010380939674,295.7885431777862,193.452380952381,221.9336323119517,212.9397212388235,257,4.5,7.805,6.0,6.645162932790225,3.100496450361595,491,,,,,,,,
main,бутылка,,398,728.3053743055556,15.8,1500.0,185.6454480425225,6.7,374.2640655555555,1375.543898032408,728.3053743055556,1030.941599582981,1131.969247293834,398,6.5275,35.0,15.8,26.00468174203518,36.18310411960141,398,450.0,7500.0,1500.0,4905.910804020101,11736.5072092383,398,98.91635368116205,307.6028597636833,185.6454480425225,204.6907630547064,128.5624385319316,204,4.913499999999999,8.5065,6.7,7.185835905936549,3.840132645300491,394,,,,,,,,
main,набор,,309,1331.210657407407,29.0,1000.0,225.3184300187278,6.4,233.928,4852.058863960116,1331.210657407407,2707.687513374726,4341.880477047936,309,4.339999999999999,104.37,29.0,68.359064602411,147.9513273623452,309,150.0,4500.0,1000.0,4955.304207119741,23828.56986166579,309,106.8262169008438,364.9794111859619,225.3184300187278,342.9930825286134,753.6212182344672,154,5.0,9.989999999999998,6.4,7.352873376623378,3.381726296268217,308,,,,,,,,
main,ручка,,260,110.1201014384921,2.62,5000.0,376.7660910518054,5.87,31.2558175,1000.243010243056,110.1201014384921,713.8137315193616,1800.967154385464,260,0.6785000000000001,23.0,2.62,20.58877271828846,61.56398266694788,260,750.0,25187.50000000001,5000.0,14161.65673076923,34419.221011063,260,200.7553606237817,639.4886549937702,376.7660910518054,408.8921439183387,227.1677100078307,157,4.5,8.0,5.87,7.592306201550388,7.62004487277301,258,,,,,,,,
main,лампа,,254,1368.867625,33.0,1500.0,154.3577394970584,6.8,542.2789153125,3501.168880962963,1368.867625,2354.87218832348,4733.516255705098,254,10.0,88.04999999999998,33.0,58.0261811023622,138.8219479605297,254,371.2499999999997,5258.812499999997,1500.0,3227.717519685039,7228.433762392145,254,78.50557175142747,254.4989822558519,154.3577394970584,180.4994141197279,122.4226909432224,159,5.0,11.42,6.8,7.834189723320158,4.315235694464772,253,,,,,,,,
main,игрушка,,253,440.3352273125342,9.5,1500.0,165.0871411741524,6.5,134.1427207407407,1524.620013502909,440.3352273125342,1589.707297981519,7006.933194889825,253,2.5,35.675,9.5,46.10226455026455,253.7433019898398,252,450.0,12750.0,1500.0,16731.77173913044,69541.51481971868,253,62.12459069863918,302.313419317494,165.0871411741524,188.9514012561805,136.5986495497096,136,5.0,10.24,6.5,7.892579365079365,4.204153501833973,252,,,,,,,,
main,кабель,,223,465.25,13.0,1500.0,258.5858585858585,7.0,158.1019908333333,2006.175084305558,465.25,1060.17503293629,1461.094277331429,223,3.615,60.0,13.0,30.46106278026906,43.40181261457032,223,457.4999999999999,5000.0,1500.0,13896.14414414414,151148.6058028222,222,154.6816259709958,406.8531771849923,258.5858585858585,290.0792384925613,178.6506433191258,115,5.4,10.0,7.0,7.69722972972973,3.390060045173444,222,,,,,,,,
main,брелок,,211,162.7697111111111,4.0,3000.0,291.6666666666667,10.1,69.12796875,449.5020878472222,162.7697111111111,453.1561602685928,1543.569702836097,211,1.47,13.0,4.0,14.30178738236967,66.94721111585943,211,1000.0,15000.0,3000.0,21699.71563981043,61432.48939730268,211,140.0,533.638269487326,285.7142857142857,344.9693481102087,283.7666578021253,101,8.1,13.07,10.1,10.90746919431279,4.343827506084688,211,,,,,,,,
main,подставка,,180,490.6518981481481,11.5,1800.0,252.0970672545977,6.5,119.9615595486111,2114.320037268518,490.6518981481481,1067.899199875241,1459.31060671554,180,2.5255,47.32500000000003,11.5,27.18616666666667,43.12141976750491,180,500.0,7500.0,1800.0,9643.531944444445,33225.00536145745,180,136.8416519319778,586.0283911394986,252.0970672545977,338.442110065979,259.7551349833111,106,4.7,10.16,6.5,9.828944444444444,20.52322332207158,180,,,,,,,,
main,чехол,,155,625.6756062500001,16.0,1500.0,215.5172413793103,7.41,177.3669625,2206.153209027778,625.6756062500001,1580.678915547587,3149.798131885167,155,4.319999999999999,47.90000000000001,16.0,50.60370967741936,131.7592746382371,155,500.0,4770.000000000002,1500.0,7032.129032258064,28265.59884645692,155,114.767846895167,358.9128744454866,215.5172413793103,241.9510636145941,177.2210391535917,83,6.0,11.19999999999999,7.41,8.438169934640523,3.928681132977891,153,,,,,,,,
main,рюкзак,,152,2000.784741666667,40.5,1350.0,125.0,7.61,549.8630461018519,3566.684831249999,2000.784741666667,2355.745863588861,2238.107709665241,152,13.86,89.0,40.5,53.8522302631579,64.92986190232685,152,375.0,4674.999999999997,1350.0,5940.702302631579,27799.5165919119,152,71.87499999999999,194.4534699885515,125.0,162.8151522511355,240.3126787289022,107,6.0,9.883,7.61,8.15633552631579,2.215890531353353,152,Рюкзак,"Полиэстер, нейлон, хлопок, Оксфорд, ПВХ","0,11","6,1","8,2","6,21","8,2",ДС
main,очки,,127,309.4320833333333,7.2,2000.0,174.6203716713306,7.31,109.3759661689815,1178.403801388095,309.4320833333333,793.181560314382,1447.641955560013,127,1.8355,27.55,7.2,22.39111023622047,51.57279192654654,127,602.25,15164.99999999999,2000.0,24565.37401574803,145527.0314274949,127,83.78278535678805,351.9161725955204,174.6203716713306,211.568886086255,145.8650569707156,70,4.829999999999999,12.985,7.31,8.632459016393446,4.333017159545764,122,,,,,,,,
main,аккумулятор,,113,1786.812662473794,48.0,1500.0,424.2848813688394,6.5,670.2014373412698,3089.851402777778,1786.812662473794,2008.708982605646,1549.918543822965,113,19.8,93.1,48.0,57.7287610619469,47.59166199355167,113,450.0,4500.0,1500.0,2535.20575221239,4961.232676002544,113,174.1846008330441,611.7971210076474,424.2848813688394,412.0860677230478,222.888636347618,72,5.3,7.806000000000002,6.5,8.834513274336283,13.16294616603409,113,,,,,,,,
main,ластик,,99,219.105,4.300000000000001,4500.0,168.1031848,6.4,42.97275913888888,990.0871292353477,219.105,607.1562438948503,1212.287751642611,99,0.785,16.29,4.15,13.98318181818182,39.5425829073799,99,751.75,30000.0,4500.0,15401.5303030303,32057.1343234979,99,103.4489101727247,527.76637536,168.1031848,317.8611196830151,369.919648587967,59,4.572,10.626,6.4,7.369848484848484,3.257666033683162,99,,,,,,,,
main,косметичка,,95,612.2400462962962,13.5,1500.0,170.1388888888889,7.2,148.6335344444444,994.0201671296295,612.2400462962962,744.4319001706898,862.7735010697195,95,3.07,27.62499999999999,13.5,20.05215789473684,27.95834975623249,95,500.0,15000.0,1500.0,14737.44736842105,45005.24290376608,95,83.17679872495447,280.952380952381,170.1388888888889,178.6680561281566,104.5710278742824,76,6.0,8.2,7.2,7.429631578947367,2.085886494803811,95,,,,,,,,
main,колонка,,92,1476.77,41.08,1500.0,266.6003128110337,11.4,600.4348439236111,3570.399770833332,1476.77,2999.251911216166,8169.784524441243,92,13.0325,81.72499999999998,41.08,84.60065217391305,252.9457979241443,92,283.375,5250.0,1500.0,2591.869565217391,4119.167591426858,92,167.0443217099733,379.1494459528985,266.6003128110337,270.9865667041573,128.4839181730285,66,7.0,14.0,11.4,11.27377777777778,3.419475805079354,90,Колонка,"Пластик 

Товар с аккумулятором",1,,,,,
main,флешка,,90,824.5158333333333,24.0,1500.0,317.9505813953488,7.5,378.3985408564814,1876.400114583333,824.5158333333333,1449.066134870448,2802.013579569615,90,10.0,59.29999999999998,24.0,43.38733333333334,98.82651363243353,90,269.125,5000.0,1500.0,7712.838888888889,47493.09309983972,90,157.4667888227211,639.2045454545454,317.9505813953488,376.0469433525537,216.6569949312438,61,5.0,37.3,7.5,14.22288888888889,13.12010270277393,90,,,,,,,,
sub,лампа_ночная,лампа,87,1422.190275782248,31.0,1127.5,136.2808865498199,7.0,561.2174630934343,3216.893993323754,1422.190275782248,2447.149540943571,5820.883994430571,87,11.9,75.1,31.0,50.48724137931034,65.26565605081576,87,377.5,7500.0,1127.5,3967.850574712644,7756.077487302481,87,77.80323143279375,207.8564805133234,136.2808865498199,155.2979185350608,122.8854395067359,52,5.0,13.024,7.0,8.49293103448276,6.10222606312,87,,,,,,,,
main,футболка,,86,1219.733263888889,25.5,1500.0,198.5965841387529,7.9,417.5232288194444,2415.687477777778,1219.733263888889,1628.08949046252,2120.742280153072,86,8.7,56.5,25.5,44.91640697674418,74.93680353116028,86,495.625,5718.75,1500.0,9313.755813953489,24591.68634766686,86,126.5650397012073,316.9070512820513,198.5965841387529,215.8953069901904,107.7032391666212,51,5.45,11.625,7.9,8.65510465116279,3.992532635776797,86,,,,,,,,
