,"Менеджер: 
Email: 
Телефон: 
",,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,ТЗ,Ссылка,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Футболка Альфа,"Материал: 1. ткань – кулирка, состав: хлопок 92%/лайкра 8%, плотность 190 гр.
2. горловина кашкорсе в цвет основной ткани
3. для красной футболки ткань выкрашивается по пантону 
4. втачные рукава
Размер: размерный ряд: S/M/L/XL/XXL  
Упаковка: паковка в индивидуальный пакет с клеевым слоем, хентег 10х6 см 1+0, матовая ламинация, наклейка с шк и честный знак на оборотную сторону хенгета (2 наклейки)","Футболка с принтом свободного кроя/оверсайз (цвет красный):
1. ткань – кулирка, состав: хлопок 92%/лайкра 8%, плотность 190 гр.
2. горловина кашкорсе в цвет основной ткани
3. для красной футболки ткань выкрашивается по пантону 18-1664 TPG (Fiery Red)
4. втачные рукава
5. нанесение:
– на груди леттеринг рефлекторная пленка, размер 30x13,7см, отступ от горловины 9 см. на красной цвет пленки - белый.
– ПВХ шеврон,  размером 6х2х0.2см. Размещение -нижняя левая сторона, отступ 6см от бокового шва и 6,5 см от нижнего края футболки.
6.упаковка в индивидуальный пакет с клеевым слоем, хентег 10х6 см 1+0, матовая ламинация, наклейка с шк  и честный знак на оборотную сторону хенгета (2 наклейки)
7. размерный ряд: S/M/L/XL/XXL                                                                                                                                                         ",https://www.dropbox.com/scl/fo/fwh0e8fx7j27thgygba8j/AGf7fWx6JvGlCuA2IF5QUKo/_good/%D0%A4%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0%20%D0%90%D0%BB%D1%8C%D1%84%D0%B0?dl=0&rlkey=9te7eim7nbebvqps32kwgw21m&subfolder_nav_tracking=1," Дизайн: 
– на груди леттеринг рефлекторная пленка, размер 30x13,7см, отступ от горловины 9 см. на красной цвет пленки - белый.
– ПВХ шеврон,  размером 6х2х0.2см. Размещение -нижняя левая сторона, отступ 6см от бокового шва и 6,5 см от нижнего края футболки.",8489,"15,4","1358,8",65-70,"16,7","1471,3",55-60,16 300,15,25-27,
 ,Футболка Альфа,"Материал: 1. ткань – кулирка, состав: хлопок 92%/лайкра 8%, плотность 190 гр.
2. горловина кашкорсе в цвет основной ткани
3. для черной -глубокий черный цвет
4. втачные рукава
Размер: размерный ряд: S/M/L/XL/XXL         
Упаковка: упаковка в индивидуальный пакет с клеевым слоем, хентег 10х6 см 1+0, матовая ламинация, наклейка с шк  и честный знак на оборотную сторону хенгета (2 наклейки)","Футболка с принтом свободного кроя/оверсайз ( черный):
1. ткань – кулирка, состав: хлопок 92%/лайкра 8%, плотность 190 гр.
2. горловина кашкорсе в цвет основной ткани
3. для черной -глубокий черный цвет
4. втачные рукава
5. нанесение:
– на груди леттеринг рефлекторная пленка, размер 30x13,7см, отступ от горловины 9 см. на черной футболке цвет пленки в пантон  2035 C
– ПВХ шеврон,  размером 6х2х0.2см. Размещение -нижняя левая сторона, отступ 6см от бокового шва и 6,5 см от нижнего края футболки.
6.упаковка в индивидуальный пакет с клеевым слоем, хентег 10х6 см 1+0, матовая ламинация, наклейка с шк  и честный знак на оборотную сторону хенгета (2 наклейки)
7. размерный ряд: S/M/L/XL/XXL                                                                                                                                                         ",https://www.dropbox.com/scl/fo/fwh0e8fx7j27thgygba8j/AGf7fWx6JvGlCuA2IF5QUKo/_good/%D0%A4%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0%20%D0%90%D0%BB%D1%8C%D1%84%D0%B0?dl=0&rlkey=9te7eim7nbebvqps32kwgw21m&subfolder_nav_tracking=1," Дизайн: 
– на груди леттеринг рефлекторная пленка, размер 30x13,7см, отступ от горловины 9 см. на черной футболке цвет пленки в пантон  2035 C
– ПВХ шеврон,  размером 6х2х0.2см. Размещение -нижняя левая сторона, отступ 6см от бокового шва и 6,5 см от нижнего края футболки.",13293,"13,6","1200,1",65-70,"14,8","1305,4",55-60,16 300,15,25-27,
 ,Носки в индивидуальной упаковке,"Материал: хлопок 80%
Размер: женский 36-39, мужской 40-44
Упаковка: OPP пакет с шк, хентегом и ЧЗ
","Носки с принтом:
1. индивидуальная вязка, состав: 80% хлопок, 20% эластан, плотность носков 330 г/м2, вязка в 200 игл
2. брендирование: вышивка: 2 цвета - 1х1см 
3. разделение на размеры: мужские - 40-44, женские - 36-39
4. упаковка: индивидуальный пакет с клеевым слоем, хентег 1+0, матовая ламинация, наклейка  шк и честный знак на оборотную сторону хенгета (2 наклейки)                                                                                                                                      ",https://www.dropbox.com/scl/fo/fwh0e8fx7j27thgygba8j/AP2JwAOVJOXG5XsUtesedls/_good/%D0%9F%D0%B0%D1%80%D0%B0%20%D0%BD%D0%BE%D1%81%D0%BA%D0%BE%D0%B2?dl=0&rlkey=9te7eim7nbebvqps32kwgw21m&subfolder_nav_tracking=1," Дизайн: по макету - вязка + вышивка лого с одной стороны на каждом носке 1*1 см, 2 цвета",13007,"2,3","201,1",45-50,"2,5","218,3",35-40,6 500,7,17-19,
 ,Носки в тубусе,"Материал: хлопок 80%
Размер: женский 36-39, мужской 40-44
Упаковка: тубус из картона, печать 4+0, размер тубуа 95*122 мм, наклейка с шк и чз
","Носки с принтом в тубусе – 3 пары в упаковке:
1. индивидуальная вязка, состав: 80% хлопок, 20% эластан, плотность носков 330 г/м2, вязка в 200 игл
2. брендирование: вышивка: 2 цвета, вышивка 1х1см
3. разделение на размеры: мужские - 40-44, женские - 36-39 
4. упаковка в конструкции тубус: картон 4 + 0, диаметр 95мм, высота 122мм, печать 4+0 в пантон по макету, наклейка с шк и честный знак на дно упаковки (2 наклейки)                                                                                                                          ",https://www.dropbox.com/scl/fo/fwh0e8fx7j27thgygba8j/AOUzXzYcRkSG6M9JNtqtRJk/_good/%D0%9D%D0%BE%D1%81%D0%BA%D0%B8%20%D0%B2%20%D1%82%D1%83%D0%B1%D1%83%D1%81%D0%B5?dl=0&rlkey=9te7eim7nbebvqps32kwgw21m&subfolder_nav_tracking=1," Дизайн: по макету - вязка + вышивка лого с одной стороны на каждом носке 1*1 см, 2 цвета",13365,"6,4","560,4",55-60,"7,1","623,4",45-50,"6 500 - пара носков 
10 000 - тубус",10,20-22,
 ,"Ремувка с джибитсами
для бизнеса","Материал: пвх, пластик
Размер: ремувка 267х25мм в разобранном виде
- джибитс лев - 25х25мм, 
- джибитс бизнес - 29х34мм
Упаковка: индивидуальный пакет с зип локом и штрихкодом 
Примечание от фабрики: 
открытие форм фатора ","Ремувка:
1. материал: ПВХ, твердость готового изделия  не менее 68 по Шор А (68 Sh A) и не более  70 по Шор А (70 Sh A). Карабин - пластик черного цвета
2. размер:  ремувка 267х25мм в разобранном виде
- джибитс лев - 25х25мм, Цвета : RAl 3028, RAL 1023, RAL 2004
- джибитс бизнес - 29х34мм, Цвета: салатовый флюрнеон, RAL 3028, RAL 9003, PAL 9005
3. цвет румувки: RAL 3028 1 слой, второй слой -белый ( 2 заливки) 
Два джибитса из набора «Не малый бизнес» (Business и Лев)
4. упаковка:  флоу пак пакет прозрачный, наклейка с шк на упаковку 
Все используемые материалы должны соответствовать стандартам безопасности (безопасность для детей, отсутствие токсичных веществ).                                                                                                                                ",https://www.dropbox.com/scl/fo/df4vlewgdfajybvip5ztp/AL2I-QSiDrzF6ScZqZnT73s?rlkey=x4ivamkrnqvc27bxf6tqee1ib&st=z2u44q5w&dl=0," Дизайн: ремуквка и джиббитсы в пантон, нанесение лого на ремувку. Ремувка и джиббитсы по индивидуальному размеру и дизайну ",4650,"1,8","155,1",45-50,"1,9","167,5",35-40,35 000,10,20-22,
,,,,,,,,,,,,,,,,
 ,Ремувка,"Материал: пвх, пластик
Размер: 1 часть 140х25мм, 2 часть 100х25 мм, отверстия диаметром 7 мм
Упаковка: индивидуальный пакет с зип локом и штрихкодом 
Примечание от фабрики: 
открытие форм фатора ","Ремувка:
1. материал: ПВХ, твердость готового изделия  не менее 68 по Шор А (68 Sh A) и не более  70 по Шор А (70 Sh A). Карабин - пластик черного цвета
2. размер: размер 1 часть 140х25мм, 2 часть 100х25 мм, отверстия диаметром 7 мм с прорезью
3. цвет: RAL 3028
4. упаковка:  флоу пак пакет прозрачный, наклейка с шк на упаковку 
Все используемые материалы должны соответствовать стандартам безопасности (безопасность для детей, отсутствие токсичных веществ).                                                                                                                               ",https://www.dropbox.com/scl/fo/jqx3x92fxqetvx4hck9gz/ACPRWNTd4fZQURr6Risz83o?rlkey=g3ar6bx2736ck59ug9784tbgc&st=i1gabaju&dl=0," Дизайн: ремуквка в пантон, нанесение лого на ремувку. Ремувка по индивидуальному размеру и дизайну ",4529,"1,0","87,5",45-50,"1,1","96,8",35-40,15 000,7,17-19,
