,"Менеджер: 
Email: 
Телефон: ",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д."
 ,Емкость для хранения,"Материал: костяной фарфор
Размер: 
Упаковка: транспортировочная
Примечание от фабрики: понадобится открытие формы, цена ориентировочная(см. столбик ""Образец"")", Дизайн: цветная деколь+ золотой бортик и навершие,300,"25,36
","2129,96", 638 988,85-90,"27,85","2339,40", 701 820,75-80,открытие 20000 рублей+деколь 12000 рублей,25,35-37
 ,Емкость для хранения,"Материал: костяной фарфор
Размер: 300 мл
Упаковка: транспортировочная
Примечание от фабрики: готовая форма, но если необходима своя понадобится открытие формы, цена ориентировочная(см. столбик ""Образец"")", Дизайн: цветная деколь+ серебро  бортик и навершие,300,"20,38
","1712,21", 513 663,85-90,"22,88","1921,65", 576 495,75-80,открытие 20000 рублей+деколь 12000 рублей,25,35-37
 ,Емкость для хранения,"Материал: костяной фарфор
Размер: 
Упаковка: транспортировочная
Примечание от фабрики: готовая форма, можно просто нанести необходимую деколь", Дизайн: цветная деколь+серебро  бортик и навершие,300,"20,68
","1736,79", 521 037,85-90,"23,17","1946,23", 583 869,75-80,деколь 12000 рублей,20,30-32
 ,Елочная ирушка,"Материал: костяной фарфор
Размер: 10 см
Упаковка: транспортировочная
Цена за штуку, в цену включено металическое крепление", Дизайн: цветная деколь без золота,300,"
9,08
","763,07", 228 921,85-90,"9,76","819,61", 245 883,75-80,деколь 12000 рублей,20,30-32
 ,Елочная ирушка,"Материал: костяной фарфор
Размер: 6,5 см
Упаковка: транспортировочная
Цена за штуку, в цену включено металическое крепление", Дизайн: цветная деколь без золота,300,"7,54","633,28", 189 984,85-90,"8,02","673,34", 202 002,75-80,деколь 12000 рублей,20,30-32
 ,Чайная пара,"Материал: костяной фарфор
Размер: 300 мл
Упаковка: транспортировочная
Цена за штуку", Дизайн: цветная деколь без золота,300,"12,62

","1059,85

", 317 955,85-90,"14,45","1214,14", 364 242,75-80,деколь 12000 рублей,20,30-32
 ,Чайник,"Материал: костяной фарфор
Размер: 
Упаковка: транспортировочная
", Дизайн: цветная деколь без золота,300,"26,31
","2210,42
", 663 126,85-90,"29,82","2504,55", 751 365,75-80,деколь 12000 рублей,20,30-32
