 ,Набор подставок под напидки с лого Еком // ПСБ // Бизнес ,"Материал: кожзам
Упаковка: инд коробка для набора
Примечание от фабрики: 6 шт в наборе", Дизайн: одноцветный логотип,400,"6,2","554,8",35-40,"7,0","629,6",25-30,6 000,5,15-17,
 ,Стакан под холодные напитки ,"Материал: стекло
Размер: 10*8,4
Упаковка: набором в транспортную коробку
Примечание от фабрики: ", Дизайн: сток,400,"4,6","413,4",25-30,"6,5","581,7",15-20,2 000,1,11-13,
 ,Складная силиконовая бутылка 1,"Материал: силикон
Объем: 750 мл
Упаковка: сток коробка
", Дизайн: нанесение лого,400,"7,6","701,9",32-37,"8,2","762,5",22-27,7 200,5,15-17,
,,,,,,,,,,,,,,
 ,Складная силиконовая бутылка 2,"Материал: силикон
Объем: 550 мл
Упаковка: цветная коробка
", Дизайн: нанесение лого,400,"7,1",648,40-45,"7,5","696,9",30-35,11 350,8,18-20,
,,,,,,,,,,,,,,
 ,"Брелок для ключей из разных кубиков: QR – ведущий на наш сайт; Eком, ПСБ, Бизнес ","Материал: акрил
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость приблизительная, должна быть уточнена после получения макетов и производства образца", Дизайн: брендирование кубиков (3 кубика с разным дизайном),3000 (мин),"1,7","149,2",55-60,"1,7","153,3",45-50,12 290,10,20-22,
 ,Еком ночник,"Материал: пвх 
Размер: 190 х 62 х 96 мм
Напряжение: ≤36V
Мощность: 1.2W
Средний срок службы: 30 000 часов
Тип включения: Сенсорный
Цвет свечения: Белый, жёлтый
Упаковка: сток", Дизайн: нанесение одноцветного логотипа шелкографией,400,"14,4","1294,0",55-60,"15,7","1409,7",45-50,15 350,7,17-19,
 ,Сувенирка в брендированных коробках,"Материал: полиэстер, дерево, стекло, воск, хлопок, металл, картон
Размер: 27 х 21 х 10 см
Упаковка: подарочная с лого
Набор состоит из следующих позиций:  
1. Открытка – бумага, картон  
2. Шарф –  полиэстер  
3. Фоторамка с настольным украшением – дерево, пластик, бумага  
4. Эфирное масло (флакон) – стеклянный флакон 
5. Ароматические свечи – воск 
6. Махровое полотенце – хлопок  
7. Стеклянная кружка – стекло 
8. Украшение в виде листа гингко – металл  "," Дизайн: лого (наклейки), выкрас


",400,"17,4","1600,2",30-35,"19,7","1827,4",20-25,7900 (сток),3,13-15,
,,,,,,,,,,,,,,
 ,Коробка для сувениров,"Материал: плотный картон, ткань
Размер: примерно А4-А5
Упаковка: сток
Примечания: цена может быть скорректирована после получения макета фабрикой", Дизайн: лого,400,10,930,40-45,"12,2","1152,2",30-35,22 650,10,20-22,
 , Декоративные шнурки для телефона,"Материал: нейлон, полиэстер
Размер: примерно 150 см
Упаковка: сток пакет
", Дизайн: лого,400,"2,5",223,40-45,"2,7","241,5",30-35,6 550,7,17-19,
,,,,,,,,,,,,,,
 , Декоративные шнурки для телефона,"Материал: нейлон, полиэстер, сплав
Размер: 150 см (длина ремешка), 8 мм (диаметр)
Упаковка: сток
",Дизайн: сток,400,"3,5","363,7",27-32,"3,8","399,7",17-22,2 850,2,12-14,
,,,,,,,,,,,,,,
 , Декоративные шнурки для телефона,"Материал: полиэстер, сплав
Размер: 8 мм (диаметр)
Упаковка: сток
", Дизайн: сток,400,"3,3","347,7",27-32,"3,6","378,4",17-22,2 750,2,12-14,
,,,,,,,,,,,,,,
,ланъярд,"Материал: полиэстер
Размер: 136 х 2,5 см
Упаковка: индивидуальный пакет



", Дизайн: сублимация на стропе,300,"5,400","546,50",55-60,"5,700","581,50",45-50,9 000,7,17-19,
,,,,500,"5,000","514,50",55-60,"5,400","549,50",45-50,,,,
,,,,1000,"4,700","483,10",55-60,"5,100","518,10",45-50,,,,
,ланъярд,"Материал: полиэстер
Размер: 120 см
Упаковка: индивидуальный пакет


"," Дизайн: нанесение лого на вставку в чехол (уф-печать, шелкография)",300,3,"310,9",40-45,"3,2","332,5",30-35,4 500,5,15-17,
,,,,500,"2, 8","293,8",,"3,1","314,7",,,,,
,,,,1000,"2, 6","272,1",,"2,8","292,4",,,,,
 ,Кнопка-антистресс,"Материал: пластик, ткань, электро компоненты
Размер: 14 х 20 х 10 см
Упаковка: сток
",Дизайн: сток,400,"7,8","731,8",25-30,"10,3","974,1",15-20,3 400,2,12-14,
,,,Дизайн: лого,1000,"7,3","689,7",35-40,"9,8","932,1",25-30,8 150,5,15-17,
