,"Менеджер: 
Email: 
Телефон: ",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бутылка-шейкер,"Материал: бутылка, мяч и сетка - ПП, крышка - ПЭ (пластик)
Размер: 22*10 см
Ёмксоть: 600 мл
Цвет: чёрный
Упаковка: опп 
Примечание от фабрики: 
Метрическая шкала есть, ручка-карабин тоже есть (см. последнее доп.фото)

Можно упаковать в коробку, в том числе сделать кастом по макету клиента ( в цену не включено)

Сеточка и шарик для размешивания идут в комплекте (см.доп.фото)", Дизайн: Уф-печать/шелкография  ,300,8.79,700.00, 210 000,35-40,"10,300",10,20-22,
,,,,500,7.33,584.10, 292 050,,,,,
