,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Салфетка для стекла, упакованная в металлическую бочку","Материал: микрофибра, металл
Размер: 40*40 см салфетка, 11*7 см бочка
Упаковка: заводская упаковка
Примечание от фабрики: "," Дизайн: печать логотипа на салфетке, печать на бочке по макету клиента",1000,"6,7","600,3",50-55,,,,41 000,7,17-19,
,,,,2000,"6,5","581,8",,,,,,,,
 ,"Салфетка для авто, упакованная в металлическую бочку","Материал: полиэстер, металл
Размер: 30*40 см салфетка, 400 гр/м, 11*7 см бочка
Упаковка: заводская упаковка
Примечание от фабрики: "," Дизайн: печать логотипа на салфетке, печать на бочке по макету клиента",1000,"6,5","584,1",50-55,,,,39 000,7,17-19,
,,,,2000,"6,3","566,1",,,,,,,,
 ,Антистресс в виде бочки,"Материал: полиуретан
Размер: 8,5*4,8 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: по макету клиента,500,"1,4","125,1",50-55,,,,5 000,7,17-19,
,,,,1000,"1,3","114,7",50-55,,,,,,,
,,,,3000,"1,2","108,6",50-55,,,,,,,
 ,"Магнитная открытка

(стоимость примерная, точная после предоставления макета)","Материал: металл, бумага, магнит
Размер: 10*15 см
Упаковка: заводская упаковка
Примечание от фабрики: 

Фабрика специализируется на пр-ве магнитов и магнитных планнеров.
С обратной стороны рекомендуют приклеить бумажный слой с печатью клиента. Сказали, что отклеиваться не будет.", Дизайн: по макету клиента,500,"5,3","465,3",53-58,,,,64 500,17,27-29,
,,,,1000,"4,7","412,9",,,,,,,,
 ,Брелок,"Материал: цинковый сплав
Размер: 80*15 мм
Упаковка: заводская упаковка
Примечание от фабрики: 


Нет возможности нанести лого, так как очень мало места даже для лазера", Дизайн: сток,500,"1,7","151,5",35-40,,,,2 000,5,15-17,
,,,,1000,"1,6","143,0",,,,,,,,
,,,,2000,"1,5","135,5",,,,,,,,
 ,Брелок,"Материал: цинковый сплав
Размер: 80*15 мм
Упаковка: заводская упаковка
Примечание от фабрики: 


Фабрика не исключает возможности нанести лого лазером, но для точного ответа необходим логотип", Дизайн: лазерная гравировка,500,"1,6","144,1",55-60,,,,4 500,10,20-22,
,,,,1000,"1,5","135,8",,,,,,,,
,,,,2000,"1,4","128,5",,,,,,,,
 ,"Салфетка для авто, упакованная в пластиковую тубу

(стоимость примерная, точная после предоставления макета)","Материал: искусственная замша, пластик
Размер: 43*33 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: этакетка на тубе по макету клиента,1000,"4,5","411,8",55-60,,,,11 000,10,20-22,
,,,,2000,"4,4","398,8",,,,,,,,
 ,"Брелок

(указана примерная стоимость, точная после предоставления макета)","Материал: цинковый сплав
Размер: примерно 80*15 мм
Упаковка: заводская упаковка
Примечание от фабрики: 


Выкрас основы от 2000 шт

В стоимость образца включена стоимость открытия формы","Дизайн: выкрас основы в пантон, черная пружинка, монетка с лого
есть возможность выкрасить фурнитуру в пантон, однако на выкрашенную монетку нельзя будет нанести лазерную гравировку, только печать",2000,"3,0","257,2",70-75,,,,64 000,17,27-29,
,,,,,,,,,,,,,,
 ,Антистресс с жидкостью ,"Материал: стекло, вода, силикон 
Размер: см. доп. фото
Упаковка: заводская упаковка
Примечание от фабрики: 


Минимальный тираж - 1000 шт 
Цена без учета корокби 

Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн: Жидкость черного \ желтого цвета 
Изготовление фигурки бочки по форме
Выкрас фигурки в пантон, печать логотипа УФ печать ",1000,"6,3","550,1",60-65,,,,34 000,15,25-27,
 ,Антистресс с жидкостью ,"Материал: стекло, вода, силикон 
Размер: 3,4*2*2
Упаковка: заводская упаковка
Примечание от фабрики: 


Минимальный тираж - 1000 шт 
С учетом коробки 


Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн: Жидкость черного \ желтого цвета 
Изготовление фигурки бочки по форме
Выкрас фигурки в пантон, печать логотипа УФ печать 

Печать на коробке полноцвет 4 стороны в пантон ",1000,"6,8","687,0",45-50,,,,34 000,15,25-27,
 ,Брелок,"Материал: Цинковый сплав
Размер: 3,4*2*2
Упаковка: заводская упаковка
Примечание от фабрики: 


Минимальный тираж - 1000 шт 
Цепь и кольцо входят в стоимость 


Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн: Выкрас в пантон, печать лого белого цвета по центру 
",2000,"1,5","132,2",45-50,,,,13 000,10,20-22,
 ,Брелок,"Материал: Цинковый сплав  
Размер: 3,4*2*2
Упаковка: заводская упаковка
Примечание от фабрики: 


Минимальный тираж - 1000 шт 
Цепь и кольцо входят в стоимость 


Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн: Выкрас в пантон, печать лого белого цвета по центру с двух сторон ",2000,"1,6","159,6",45-50,,,,13 000,10,20-22,
 ,Брелок,"Материал: Цинковый сплав 
Размер: 3,4*2*2
Упаковка: заводская упаковка
Примечание от фабрики: 


Минимальный тираж - 1000 шт 
Цепь и кольцо входят в стоимость 

Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн: Серебряный цвет, лого лазерная гравировка на шильде (серебряный цвет) по центру ",2000,"1,7","149,5",45-50,,,,13 000,10,20-22,
 ,Брелок,"Материал: Цинковый сплав 
Размер: 3,4*2*2
Упаковка: заводская упаковка
Примечание от фабрики: 


Минимальный тираж - 1000 шт 
Цепь и кольцо входят в стоимость 

Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн: Выкрас в пантон, лого лазерная гравировка на шильде (середряный цвет) по центру ",2000,"1,8","179,5",45-50,,,,14 800,10,20-22,
 ,Фляга ,"Материал: Нержавеющая сталь  
Размер: 13,5*9,5
Упаковка: заводская упаковка
Примечание от фабрики: 


Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн: Выкрас в пантон, нанесение лого в корп. зеленом цвете, форма - сток  ",1000,"7,9","683,1",50-55,,,,12 000,10,20-22,
,,,,500,"9,1","790,1",50-55,,,,12 000,10,20-22,
 ,Фляга ,"Материал: металлический сплав 
Размер: см. доп. фото 
Упаковка: заводская упаковка
Примечание от фабрики: 


Цены ориентировочные. Точные цены могут быть предоставлены после утверждения макета ","Дизайн:Нанесение логотипа на место соединения шестеренок, лазерная гравировка  
Место нанесения см. доп. фото ",1000,"3,3","278,9",55-60,,,,7 000,10,20-22,
,,,,500,"3,1","268,3",55-60,,,,,,,
