,"Менеджер: 
Email: 
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ от клиента,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Кружка Good Morning с покрытием софт-тач, голубая","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн:  кружка с покрытием софт-тач, голубая, картинка по макету клиента ",300,"8,9","876,3",45-50,"10,5","1023,0",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
 ,"Кружка Good Morning с покрытием софт-тач, фиолетовая","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн:  кружка с покрытием софт-тач, фиолетовая, картинка по макету клиента ",500,"8,3","816,3",45-50,"9,9","963,6",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
 ,"Кружка Good Morning с покрытием софт-тач, зеленая","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн: кружка с покрытием софт-тач, зеленая, картинка по макету клиента ",500,"8,3","816,3",45-50,"9,9","963,6",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
 ,"Кружка Good Morning с покрытием софт-тач, красная","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн: кружка с покрытием софт-тач, красная, картинка по макету клиента ",300,"8,9","876,3",45-50,"10,5","1023,0",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
 ,"Кружка Good Morning с покрытием софт-тач, оранжевая","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн: кружка  с покрытием софт-тач, оранжевая, картинка по макету клиента ",500,"8,3","816,3",45-50,"9,9","963,6",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
 ,"Кружка Good Morning с покрытием софт-тач, желтая (золотая)","Размеры: диаметр 8,3 см, высота 10,3 см, ширина вместе с ручкой 11,6 см Материал: фарфор Вес (1 шт.): 333 г

+ лого снизу, по аналогии с остальными","Материал:  фарфор
Размер: высота 103мм, диаметр 80мм
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна "," Дизайн: с покрытием софт-тач, желтая, картинка по макету клиента ",500,"8,3","816,3",45-50,"9,9","963,6",35-40,11 220,10-12,22-24,
,,,,,,,,,,,,,,,
 ,"

Кружка Clari для сублимационной печати, прозрачная
","Размеры: диаметр 8,2 см, высота 9,5 см, Материал: стекло, 330мл
Аттракцион + лого. Контур черный, цвет трека красный
","Материал:  стекло 
Размер: диаметр 8,2 см, высота 9,5 см
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна ", Дизайн: Аттракцион + лого.,500,"5,6","556,5",40-45 ,"7,7","738,6",30-35,9 052,7,17-19,
,,,,,,,,,,,,,,,
 ,"Кружка Clari для сублимационной печати, прозрачная","Полная запечатка, надпись Сочи Форния

","Материал:  стекло 
Размер: диаметр 8,2 см, высота 9,5 см
Упаковка: коробка белая 
Примечание от фабрики: индивид коробка без дизайна ", Дизайн: Аттракцион + лого.,500,"5,6","556,5",40-45 ,"7,7","738,6",30-35,9 052,7,17-19,
,,,,,,,,,,,,,,,
 ,Поясная сумка красная Богатырь                        ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка и размещение логотипа
","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"5,30","477,35",40-45,"5,60","504,36",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Поясная сумка черная Кощей                          ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка и размещение логотипа
","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"5,30","477,35",40-45,"5,60","504,36",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Поясная сумка черная Баба Яга                         ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка и размещение логотипа



","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"5,30","477,35",40-45,"5,60","504,36",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Поясная сумка синяя Кот Ученый                          ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка и размещение логотипа","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"5,30","477,35",40-45,"5,60","504,36",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Поясная сумка розовая Морская Царевна                          ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка и размещение логотипа","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm.
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"5,30","477,35",40-45,"5,60","504,36",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
 ,Поясная сумка зеленая Змей Горыныч                         ,"Поясная сумка из полиэстера 210D с основным отделением на молнии и регулируемым поясным ремнем 35.50 x 14.00 cm.
Полная запечатка и размещение логотипа
","Материал: полиэстер 210D 
Размер:  35.50 x 14.00 cm
Упаковка:  инд пакет
Примечание от фабрики: ", Дизайн: Полная запечатка и размещение логотипа,100,"5,30","477,35",40-45,"5,60","504,36",30-35,5 966,3,13-15,
,,,,,,,,,,,,,,,
