,"Менеджер: 
Email: 
Телефон: ",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Цифровая фоторамка,"Материал: ЖК-экран 7” с LED подсветкой, чип Allwinner C100, динамики 2x2 Вт.
Размер: Экран 7 дюймов (1024x600), устройство 19.3 * 13.2 * 2.1 см.
Технические характеристики: Поддержка видео (до 1080P), фото в JPEG, музыка MP3/WMA, 16 МБ встроенной памяти, USB 2.0, SD/MMC.
Упаковка: сток
Примечание от фабрики: сроки не включают китайский новый год
цена может быть уточнена при утверждении дизайна",Дизайн: сток,50,"68,50","7055,84",35-40,"73,07","7525,83",25-30,"10 000
(из наличия)",5,15-17,
,,,,,"39,47","4065,25","45-50
(в долгую)","41,57","4282,17","35-40
(в долгую)",,,,
,,,Дизайн: нанесение логотипа,,"69,11","7118,78",40-45,"73,68","7588,77",30-35,,,,
,,,,,"40,08","4128,18","50-55
(в долгую)","42,19","4345,10","40-45
(в долгую)",,,,
 ,Домашний проектор 1 (желтый),"Материал: Пластик
Размер: 127 x 81.5 x 48.5 мм
Технические характеристики:
Разрешение: 1920x1080 (макс.)
Яркость: 10-20 ANSI
Проекция: 1.6:1, расстояние 0.8-2 м
Поддержка форматов: изображения, видео, музыка, TXT
Питание: 12V-2A (внешнее), 5V-2A (мобильное)
Встроенный динамик: 2W
Упаковка: сток
Примечание от фабрики: сроки не включают китайский новый год
цена может быть уточнена при утверждении дизайна",Дизайн: сток,50,"66,39","6837,68",35-40,"68,71","7076,85",25-30,"7 400
(из наличия)",5,15-17,
,,,,,"20,99","2162,36","45-50
(в долгую)","22,61","2329,22","35-40
(в долгую)",,,,
,,,Дизайн: нанесение логотипа шелкография,500,"48,90","5036,75",40-45,"51,22","5275,92",30-35,"12 000
(с логотипом)",10,20-22,
,,,,,"21,52","2217,05","50-55
(в долгую)","23,14","2383,91","40-45
(в долгую)",,,,
 ,Домашний проектор,"Материал: Пластик
Размер: 134 x 119 x 218.5 мм
Технические характеристики:
Память: 1GB RAM, 8GB ROM (опции 16/32/64GB)
Яркость: 120 ANSI люмен
Разрешение: 1280x720
Проекционный размер: 40-130 дюймов
Подключение: Wi-Fi 6, Bluetooth 5.0
Интерфейсы: USB, HDMI, аудио
Упаковка: сток
Примечание от фабрики: сроки не включают китайский новый год
цена может быть уточнена при утверждении дизайна",Дизайн: сток,50,"130,00","13390,40",35-40,"134,76","13879,86",25-30,"10,000",7,17-19,
,,,,,"58,75","6050,88","45-50
(в долгую)","61,99","6384,60","35-40
(в долгую)",,,,
,,,Дизайн: нанесение логотипа,500,"109,16","11243,33",40-45,"113,91","11732,79",30-35,,,,
,,,,,"56,46","5815,05","50-55
(в долгую)","59,70","6148,77","40-45
(в долгую)",,,,
 ,Домашний проектор,"Материал: Пластик
Размер: 105 x 103 x 105 мм
Технические характеристики:
Разрешение: 800x480
Яркость: 30 люмен
Проекционный размер: 20”-70”
Проекционное расстояние: 1 м – 3 м
Функции: Ручная фокусировка, поддержка NTSC, PAL, HDTV, встроенный динамик 3W, ИК пульт управления
Цвет: Белый, черный, синий, желтый, зеленый, розовый
Примечание от фабрики: сроки не включают китайский новый год
цена может быть уточнена при утверждении дизайна",Дизайн: сток,50,"93,15","9593,98",35-40,"95,84","9871,74",25-30,"10,000",5,15-17,
,,,,,"46,06","4744,12","45-50
(в долгую)","48,44","4988,85","35-40
(в долгую)",,,,
,,,Дизайн: нанесение логотипа,200,"77,40","7972,57",50-55,"80,10","8250,34",40-45,,,,
,,,,,"43,69","4500,35","60-65
(в долгую)","45,47","4683,90","50-55
(в долгую)",,,,
,Домашний проектор,"Материал: Пластиковый корпус, TFT LCD экран.
Размер: 110 мм x 47 мм
Технические характеристики:
Разрешение: 320 x 180 (поддерживает до 1920 x 1080)
Яркость: 15+3 ANSI люмен
Питание: 5V 2A, 10 Вт
Входы: USB, аудио 3.5 мм, micro USB для питания
Функции: Подключение через USB, аудио выход, пульт ДУ.
Примечание от фабрики: сроки не включают китайский новый год
цена может быть уточнена при утверждении дизайна",Дизайн: сток,50,"68,43","7048,02",35-40,"70,01","7211,17",25-30,"9000
(из наличия)",5,15-17,
,,,,,"32,45","3342,34","45-50
(в долгую)","33,89","3490,66","35-40
(в долгую)",,,,
,,,Дизайн: нанесение логотипа,1000,"47,51","4893,55",45-50,"49,09","5056,70",35-40,"13 000
(с логотипом)",10,20-22,
,,,,,"29,26","3013,71","55-60
(в долгую)","30,34","3124,95","45-50
(в долгую)",,,,
,Домашний проектор,"Материал: пластиковый корпус
Технические характеристики:
Разрешение: 1080P (1920x1080)
Яркость: 250 ANSI люмен
Мощность: 60 Вт
Проекционное расстояние: до 200 дюймов
Упаковка: сток
Примечание от фабрики: сроки не включают китайский новый год
цена может быть уточнена при утверждении дизайна",Дизайн: сток,50,"199,00","20497,45",35-40,"205,94","21211,61",25-30,"13 000
(из наличия)",7,17-19,
,,,,,"104,32","10745,14","45-50
(в долгую)","110,80","11412,58","35-40
(в долгую)",,,,
,,,Дизайн: нанесение логотипа лазером,100,"187,37","19298,75",40-45,"194,53","20036,28",30-35,"18 000
(с логотипом)",10,20-22,
,,,,,"102,62","10569,80","50-55
(в долгую)","109,10","11237,24","40-45
(в долгую)",,,,
 ,Проектор звездного неба 1,"Материал: пластик
Размер: 11 х 12.5 см
Упаковка: индивидуальная цветная коробка
Примечание от фабрики: в сроки доставки включен китайский новый год
Характеристики:
Работает от батереек 3 шт. АА (не входят в комплект); USB
Напряжение: 220 Вт",Дизайн: сток,50,"5,6","596,7",40-45,"6,7","725,9",25-30,"9,300",7,17-19,
