,"Менеджер: 
Email: 
Телефон: ",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Панама,"Материал: хлопок 100%
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента

Цены примерные, для точного расчета требуется образец 
"," Дизайн: шелкография, по макету клиента (минимальный тираж 250 шт)",100,"20,1","1688,27", 168 827,55-60,10 000,10,20-22,
,,,,500,"8,32","698,86", 349 430,,,,,
,,,,1000,"7,01","588,93", 588 930,,,,,
 ,Павер,"Материал: пвх, металл, пластик, электронные компоненты
Размер: 10*6 см
Упаковка: заводская коробка
Примечание от фабрики:  
Кастом цвета по макету клиента от 1000 шт. Просчет на 100 шт. не включает в себя кастом цвета, только печать
Мощность: 5000 мАх
Включает в себя беспроводную зарядку, лайтнинг и тайп-си
Имеет входы тайп-си и USB"," Дизайн: печать по макету клиента(шелкогафия), выкрас в пантон",100,"19,19","1611,94", 161 194,45-50,"14,200",14,24-26,
,,,,1000,"15,19","1 276,36 ",#VALUE!,50-55,,,,
 ,Веер,"Материал: пластик
Размер:  33 см (в открытом виде)
Упаковка: опп-пакет
Примечание от фабрики: 
Полный кастом по макету клиента

Цены и сроки примерные, для точного расчета требуется макет/образец 
", Дизайн: полный кастом по макету клиента,300,"5,89",598.0, 179 400,60-65,5 000,10,20-22,
,,,,1000,"4,68","494,36", 494 360,,,,,
,,,,3000,"3,85","393,41",1 180 230,,,,,
 ,Переносная пенка-сидушка,"Материал: хпэ пластик
Размер: 27.5*38.5 см
Упаковка: опп-пакет
Примечание от фабрики: 
Мин. тираж на выкрас 10 000 шт., посчитали наш тираж с учетом этой информации
Образец не предоставляют, согласование только по тредтиражнику. Технология не позволяет сделать одну штуку
Также имеется мешочек, мешочек делается в цвет с сидушкой", Дизайн: печать по макету клиента,1000,"6,62","555,97", 555 970,45-50,-,,10-12,
,,,,3000,"2,73","229,14", 687 420,45-50,,,,
 ,Обвес,"Материал: пвх, пластик, акрил
Размер: по макету клиента, примерно 9 см длина
Упаковка: опп-пакет, защитная пленка на акрил
Примечание от фабрики: полный кастом по макету клиента", Дизайн: полный кастом по макету клиента,1000,"6,92","681,05", 681 050,45-50,"14,000",14,24-26,
,,,,3000,"6,19","519,89",1 559 670,45-50,,,,
 ,заколки,"Материал: пластик
Размер: по макету клиента
Упаковка: опп-пакет
Примечание от фабрики: полный кастом по макету клиента
Мин. тираж от 1000 шт.", Дизайн: полный кастом по макету клиента,1000,"1,55","139,87", 139 870,45-50,"13,900",14,24-26,
,,,,3000,"1,39","116,88", 350 640,45-50,,,,
 ,Шнурок для телефона,"Материал: нейлон, металл, полиэстер
Размер: 120 см
Упаковка: опп-пакет
Примечание от фабрики: по макету клиента", Дизайн: бирка по макету клиента,300,"5,57","467,63", 140 289,40-45,11 800,4,14-16,
,,,,1000,"3,40","385,6", 385 600,,,,,
,,,,3000,"2,79","234,25", 702 750,,,,,
