 ,ремешок для часов ,"Материал: фторэластомер
Размер: фабрика предоставила 4 размера: 11*9,9/ 13,4*9,8/11,9*9,8/14*9,8.
Упаковка: OPP-упаковка (учтена в стоимости).
Примечание от фабрики: ремешок из материала похожего на материал ремешков Apple-watch, тип застежки: pin-and-tuck, могут быть разнообразных расцветок с нанесением логотипа.", Дизайн: логотип компании по макету (учтен в стоимости),500,"2,5","234,1",45-55 кд,,,,"4 510,00",14-16 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,джибитсы,"Материал: пвх
Размер: приблизительно 3*3 см, могут подстроить размер под запрос.
Упаковка:  OPP-упаковка для каждого набора из 4 шт (учтена в стоимости).
Примечание от фабрики: джибитсы под индивидуальный запрос, минимальный тираж 8000 шт - меньше фабрика не изготовливает из-за того, что страдает качество исполнения картинки, хотят, чтобы получилось четкое изображение и ровная форма. В стоимость тиража и образца включена стоимость открытия 4 форм для изготовления каждого джибитса.", Дизайн: логотип компании по макету (учтен в стоимости),8000,"0,6","56,0",40-50 кд,,,,"55 535,00",13-15 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,брелок,"Материал: пвх, металл.
Размер: 3*3*2 см
Упаковка: OPP-упаковка для каждого брелока (учтена в стоимости).
Примечание от фабрики: брелоки из пвх с метталическим креплением, фабрика сможет сделать абсолютно любой дизайн по макетам. В брелок входит: кольцо, цепь, подвеска с лого, подвеска с птичкой, подвеска со стаканчиком. В цену образца включено открытие форм на все 3 подвесы + цена самого брелока. ", Дизайн: логотип компании по макету (учтен в стоимости),500,"2,6","298,8",55-65 кд,,,,"47 530,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,"обвес на кружку (цена примерная, точная после предоставления макетов)","Материал: пластик, металл, пвх
Размер: 19*14*3 см
Упаковка: OPP-упаковка для каждого набора (включено в стоимость). Весь набор разместят в один пакетик.
Примечание от фабрики: у фабрики есть в наличии многое в стоке, единственное, что необходимо делать - это пвх брелок с логотипом, все остальное по цветам и дизайну можно подобрать (фото некоторого наличия прилагаю в доп фото). В стоимость тиража и образца включено: открытие формы для подвесы с лого, помпон, сердечко-крепление, цепи, помада-подвеса (прямоугольной формы), пластмассовое дно для кружки.", Дизайн: по фото-референсу,500,"4,3","404,4",57-67 кд,,,,"18 420,00",14-16 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,"сумка-авоська для бутылки (цена примерная, точная после предоставления макетов)","Материал: х/б
Размер: 55*40 см
Упаковка: заводская упаковка.
Примечание от фабрики: сумки-авоськи разных цветов, подходят как для бутылок, так и для термосов, фабрика сможет извотовить сумочки как на фото-референсе с наплечным ремнем. Минимальный тираж - 2000 шт, меньше по рефернсу изготовить не смогут.", Дизайн: по фото-референсу,2000,"2,9","265,5",57-67 кд,,,,"3 240,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,"обвес на кружку 2 (цена примерная, точная после предоставления макетов)","Материал: пластик, пвх, металл.
Размер: 14*19*3 см.
Упаковка:  OPP-упаковка для каждого набора (включено в стоимость). Весь набор разместят в один пакетик.
Примечание от фабрики: у фабрики есть в наличии многое в стоке, но необходимо изготавливать - пвх брелок с логотипом и пластиковое дно с логотипом.  Все остальное по цветам и дизайну можно подобрать (фото некоторого наличия прилагаю в доп фото). В стоимость тиража и образца включено: открытие формы для подвесы из пвх с лого, открытие формы для пластикового дна с лого, цветок для трубочки из пвх, бабочка, цепь, кисточка.", Дизайн: по фото-референсу,500,"4,6","434,0",57-67 кд,,,,"29 240,00",14-16 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,"ремешок через плечо для телефона (цена примерная, точная после предоставления макетов)","Материал: трикотаж
Размер: примерно 60 см.
Упаковка: OPP-упаковка для каждого обвеса (учтена в стоимости).
Примечание от фабрики: смогут изготовить ремешок по примеру с фото, в стоимость включены все крючки с фото +карабины, смогут урегулировать ширину, длину, размеры петелек, не включен пвх-логотип. Примеры изготовления, материал прикрепляю в доп фото. Фабрика может изготовить тираж, начиная с 1000 шт, меньшее кол-во не изготавливают.", Дизайн: по фото-референсу,1000,"1,8","164,7",47-57 кд,,,,"9 890,00",7-10 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,"ремешок через плечо для кружки (цена примерная, точная после предоставления макетов)","Материал: пластик, металл
Размер: примерно 119 см - длина, объем для кружки - 25,5 см
Упаковка: OPP-упаковка для каждого обвеса (учтена в стоимости).
Примечание от фабрики: смогут изготовить обвес по фото, до этого подобные не изготавливали, но готовы взяться по четкому макету, жемчужины могут быть матовыми или блестящими по запросу. В доп фото приложила примеры того, чем занимается фабрика для того, чтобы посмотреть на качество.", Дизайн: по фото-референсу,500,"23,8","2193,9",44-54 кд,,,,"9 950,00",14-16 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,"обвес с карабином и кольцом (цена примерная, точная после предоставления макетов)","Материал: пвх, силикон, металл
Размер: примерно 23*4см
Упаковка: заводская упаковка
Примечание от фабрики: фабрика сможет изготовить все составляющие: нити, силиконовое лого, металлическое кольцо, металлический карабин, все эти компоненты учтены в стоимости.", Дизайн: по фото-референсу,300,"3,3","303,2",55-65 кд,,,,"23 500,00",15-17кд - фото и видео; 12-14 кд - доставка в Мск,
 ,"сумка-авоська для телефона (цена примерная, точная после предоставления макетов)","Материал: хлопок
Размер: примерно 40*25 см
Упаковка: OPP-пакетик для каждого изделия (учтен в стоимости).
Примечание от фабрики: фабрика готова изготовить сумочку по примеру с фото, в цену включена часть из искусственной кожи, регулируемая резинка в верхней части изделия, пластмассовый фиксатор для регулировки степени открытости сумочки. Выкрасить в пантон один-в-один по фото-рефернсу не смогут, но у фабрки есть другой оттенок фиолетового, фото прилагаю в дополлнительных. ", Дизайн: по фото-рефернсу с лого ,600,"5,4","493,8",49-59 кд,,,,"10 540,00",10-12 кд - фото и видео; 12-14 кд - доставка в Мск,
 ,футболка,"Материал: пике
Размер: one-size - 44/48 
Упаковка: OPP-пакетик для каждого изделия (учтен в стоимости).
Примечание от фабрики: плотность 180 г-220 гр, фартук будет изготовлен по предоставленному макету, цвет может быть любой из перечисленных в яндекс-папках. Требуется сертификат соответствия, примерная стоимость 45.000-80.000 рублей, не учтена в стоимости."," Дизайн: шеврон, печать по макету клиента",1500,"13,4","1232,1",77-87 кд,,,,"15 920,00",17-20 кд (фото и видео); 12-14 кд (отправка в Мск),
,,,,2000,"13,1","1207,0",77-87 кд,,,,,,
,,,,3000,"12,9","1187,8",77-87 кд,,,,,,
 ,фартук,"Материал: водоотталкивающая ткань, ткань смесовая 65% полиэстер, 35% хлопок.
Размер: one-size - 44/48 
Упаковка: OPP-пакетик для каждого изделия (учтен в стоимости).
Примечание от фабрики: плотность 240гр, фартук будет изготовлен по предоставленному макету, цвет может быть любой из перечисленных в яндекс-папках. Требуется декларация соответствия, примерная стоимость 14.500 рублей, не учтена в стоимости."," Дизайн: вышивка шеврон, дизайн по макету клиента

",1500,"8,8","809,0",77-87 кд,,,,"15 920,00",17-20 кд (фото и видео); 12-14 кд (отправка в Мск),
,,,,2000,"8,2","752,2",77-87 кд,,,,,,
,,,,3000,"7,6","698,1",77-87 кд,,,,,,
 ,свитшот (альтернативный способ доставки),"Материал: хлопок 100%
Размер: one-size - 44/48 
Упаковка: OPP-пакетик для каждого изделия (учтен в стоимости).
Примечание от фабрики: свитшот из 100% хлопка, будет изготовлен по макету с дизайном. Дизайн может быть разнообразным из предложенных вариантов на яндекс-диске. ", Дизайн: печать и шеврон по макету,1500,"17,9","1648,3",63-73 кд,,,,"15 920,00",17-20 кд (фото и видео); 12-14 кд (отправка в Мск),
,,,,2000,"17,4","1600,6",63-73 кд,,,,,,
,,,,3000,"17,1","1574,2",63-73 кд,,,,,,
 ,кепка-докер,"Материал: 100% хлопок
Размер: one-size
Упаковка: заводская упаковка
Примечание от фабрики: цена рассчитана на 1 дизайн в тираже"," Дизайн: изготовление по макету клиента, вышивка или шеврон с лого клиента",1500,"5,7","536,5",60-65 кд,,,,"10 500,00","10-12 кд фото и видео

12-14 кд доставка в Мск",
,,,,2000,"5,4","509,3",,,,,,,
,,,,3000,"5,3","495,6",,,,,,,
 ,бандана,"Материал: хлопок 100%
Размер: 75*75 см
Упаковка: OPP-пакетик для каждого изделия (учтен в стоимости).
Примечание от фабрики: бандана из хлопка сделают либой из варинтов, находящихся на яндекс-диске.", Дизайн: по макету клиента,1500,"5,5","504,3",77-87 кд,,,,"15 465,00",17-20 кд (фото и видео); 12-14 кд (отправка в Мск),
,,,,2000,"5,2","477,9",77-87 кд,,,,,,
,,,,3000,"4,9","454,7",77-87 кд,,,,,,
,,,,,,,,,,,,,
 ,ланчбокс,"Материал: картон
Размер: 20*20*20 см
Упаковка: заводская упаковка
Примечание от фабрики: ланч-бокс картонный с брендированием компании", Дизайн: по макету клиента,5000,"2,5","249,0",49-59 кд,,,,"16 000,00",10-12 кд (фото и видео); 12-14 кд (отправка в Мск),
,,,,8000,"2,4","224,0",49-59 кд,,,,,,
