,"Менеджер: 
Email: 
Телефон: ",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,Комментарий ,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,мультиинструмент для барбекю ,"Материал: Нержавеющая сталь
Размер: 27*8,7 cm
Упаковка: инд пакете
Примечание от фабрики: 456 грамм", Дизайн: с лого,,205,"18,06",1534.7,40-45,"24,79",2107.3,30-35,"7059,11",7,17-19,
,,,,,,,,,,,,,,,
 ,картхолдер,"Материал: натуральная кожа 
Размер: 10,3*7,6 cm
Упаковка: инд пакете
Примечание от фабрики: 23 грамма, минимальный заказ с логотипом от 100 штук", Дизайн: с лого,,100,"9,35",743.3,40-45,"9,5",754.9,30-35,"7598,56",7,17-19,
,,,,,,,,,,,,,,,
 ,Зарядное устройство,"Материал: абс
Размер: 13.6*6.3*1.2 см
Упаковка: фабричная коробка
Примечание от фабрики: TYPE-C, 10000mah

Цвета: белый", Дизайн: с лого (лазерная гравировка),,1600,"8,38","712,55",35-40,"9,5","807,26",25-30,5 200,7,17-19,
 ,Зарядное устройство,"Материал: пвх, абс
Размер: 8,9*7,9*2,7 см
Упаковка: фабричная коробка
Примечание от фабрики: TYPE-C, 5000mah


Цвета: розовый, белый, фиолетовый,черный", Дизайн: с лого (УФ),,1350,"5,58","474,44",40-45,"6,19","526,27",30-35,3 000,7,17-19,
 ,Мульититул с набором бит,"Материал: металл
Размер: 16.5*5.5 см
Упаковка: заводская коробка
Примечание от фабрики: 
В наборе: мультитул, чехол, набор бит, заводская коробка", Дизайн: с лого (гравировка,,600,"9,07","770,77 ",40-45,"10,57","898,06 ",30-35,"6,700",5,15-17,
,,,,,,,,,,,,,,,
 ,Ежедневник + ручка,"Материал: бумага, пу кожа
Размер: А5
Упаковка: опп-пакет
Примечание от фабрики: 
Блок: кремовая бумага FSC, 70 г/м², 176 листов, перфорация в нижней части уголков;
Форзац: кремовый, 165 г/м²;
Ручка шариковая. Толщина узла 1мм. Механизм нажимной.
Материал:металл. Размер: 10 х 140 мм (примерно)", Дизайн: полный кастом по макету клиента,,4900,"10,44","887,40",45-50,"11,96","1016,60",35-40,"7,400",10,20-22,
,,,,,,,,,,,,,,,
 ,Набор ножей,"Материал: металл, дерево
Размер: см фото
Упаковка: белая фабричная коробка без ложемента 25.5*5*5CM5CM", Дизайн: гравировка лого на трех предметах,,205,"10,05","854,25",55-60,"11,02","936,53",45-50,"5,500",6,16-18,
,Набор ножей в кастомной коробке с ложементом,"Материал: металл, дерево
Размер: см фото
Упаковка: кастомная коробка оп размерам клиента", Дизайн: гравировка лого на трех предметах + кастомная коробка с ложементом,,205,"24,79","2 107,16",55-60,"27,54","2 340,91",45-50,"20,000",9,19-21,
,,,,,,,,,,,,,,,
 ,Бутылка (аналог),"Материал: Нержавеющая сталь 304
Размер: 350 мл
Упаковка: коробка
", Дизайн: сток (лого от неск. тысяч),,350,"7,5","653,9",40-45,"8,6","758,8",30-35,"4,200",2,12-14,
,,,,,,,,,,,,,,,
 ,Тарелка ,"Материал: дерево
Размер: 38.5×25.5×1.5 см, керамические пиалы размером 6×4 см
Упаковка: коробка
Примечание: В комплект входят: 3 керамических пиалы, 3 ножа, одна тарелка", Дизайн: лазерная гравировка логотипа,,205,"19,6",1 725,60-65,"23,4","2 078,4",50-55,"12,850",8,18-20,
,,,,,,,,,,,,,,,
 ,Бутылка (аналог 2),"Материал: Нержавеющая сталь 316
Размер: 800 мл (самый маленький объем)
Упаковка: коробка
Цвет: сток 3 цвета: белый, черный, зеленый", Дизайн: лого шелкография / УФ / гравировка,,350,"13,9",1 216,40-45,"15,5","1 364,1",30-35,"7,750",4,14-16,
,,,,,,,,,,,,,,,
 ,Зарядное устройство,"Материал: абс, ПУ
Размер: 
Упаковка: фабричная коробка
Примечание от фабрики: TYPE-C, 10000mah
Цвета: синий, оранжевый", Дизайн: с лого (шелкография),,1600,"15,08","1281,96",50-55,"16,33","1387,99",40-45,5 400,4,14-16,
 ,Зарядное устройство,"Материал: абс
Размер: 91х63х14,5 мм
Упаковка: фабричная коробка
Примечание от фабрики: TYPE-C, 5000mah
Цвета: синий, оранжевый"," Дизайн: с лого (шелкография), выкрас пантон (с одной стороны)",,1350,"8,88","754,86",,"9,54","810,82",,"5,000",,,
