,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Сумка шоппер,"Материал: полиэфир, полиэстер
Размер: 35*28*10 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: изготовление шоппера без печати,500,"6,7","587,6",60-65,,,,15 000,12,22-24,
,,,,700,"6,5","569,3",,,,,,,,
,,,,1000,"6,3","551,4",,,,,,,,
,,,,3000,"5,6","491,8",,,,,,,,
,,,,5000,"5,2","464,9",70-75,,,,,,,
,,,,10000,"5,1","449,8",,,,,,,,
 ,Сумка шоппер,"Материал: полиэфир, полиэстер
Размер: 35*28*10 см
Упаковка: заводская упаковка
Примечание от фабрики: ", Дизайн: изготовление шоппера с печатью в один цвет с двух сторон,500,"6,8","600,0",60-65,,,,17 500,12,22-24,
,,,,700,"6,6","581,4",,,,,,,,
,,,,1000,"6,4","563,1",,,,,,,,
,,,,3000,"5,7","503,5",,,,,,,,
,,,,5000,"5,4","476,2",70-75,,,,,,,
,,,,10000,"5,2","460,7",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Сумка шоппер,"Материал: полиэфир, полиэстер
Размер: 70х50х15 см
Упаковка: заводская упаковка
Примечание от фабрики: 

Мин тираж 500 штук"," Дизайн: рёбра сумки обработаны лентой в тон (как на образце качества), нанесение с двух сторон на сетке белым цветом А3 формата",500,"10,2","940,3",60-65,,,,18 000,12,22-24,
,,,,1000,"9,0","789,8",,,,,,,,
