,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,щетка для чистки ПК с набором аксессуаров,"Материал: пластик
Упаковка: индивидуальная коробка
Цвет: розовый, черный, белый, голубой
Примечание от фабрики: В комплект входят щетка для клавиатуры, чистящая ручка, щетка для камеры, инструмент для снятия клавиш, спрей", Дизайн: лого клиента могут нанести методом шелкографии на основной части,250,"4,8","496,6",30-35,"5,2","530,2",20-25,3 800,5,15-17,
,,,,,,,,,,,,,,
 ,крепление на телефон с зонтиком,"Материал: пластик,силикон, ударопрочная ткань 210T
Упаковка: опп-пакет
Цвет: розовый, черный
Размер: 26*22*20см", Дизайн: лого клиента могут нанести методом шелкографии на основной части купола,1000,"7,6","786,9",40-45,"9,2","947,9",30-35,7 100,5,15-17,
,,,,,,,,,,,,,,
 ,Ремень для телефона ,"Материал: нейлон + металлические пряжки
Размер: 170*2,5 см
Упаковка: опп-пакет
Примечание от фабрики: возможные варианты расцветок ткани см. в доп. фото
", Дизайн: лого клиента могут сделать с помощью этикетки; методом лазерной гравировки на пряжке; и шелкографией либо Уф-печатью на креплении под чехол (см. доп.фото),100,"8,0","818,9",40-47,,,,16 700,5-7,20-22,
,,,,500,"6,2","633,6",45-52,,,,,,,
 ,Зонт автоматический,"Материал: полиэстер
Упаковка: опп-упкаковка (в том числе и ручка)
Цвет: по пантону клиента
Примечание от фабрики: у каждого зонта есть чехол, выполненный из той же ткани, что и зонт. Стоимость запечатки зонта - дополнительно 30 руб. на 1 шт.", Дизайн: запечатка проявляющимися чернилами купола зонта сверху (бесцветная печать),300,"11,9","1227,4",45-50,,,,22 500,14,24-26,
,,,,1000,"10,7","1102,9",50-55,,,,,,,
 ,"Кабель-ланъярд 30 см

USB Type C + USB Type C","Материал: нейлоновые нити + металл
Упаковка: фабричная коробочка 12,5*12,5*1,5 СМ
Цвет: сток /  однотонный шнур в цвет клиента / разноцветный шнур в цвет клиента", Дизайн: шелкография на вкладыше или гравировка лого клиента на металл части + стоковый шнур,от 1000,"2,7","274,6",45-50,,,,14 100,5,15-17,
,,, Дизайн: шелкография / гравировка +  однотонный шнур в цвет клиента,от 2000,"2,7","274,6",50-55,,,,,,,
,,, Дизайн: шелкография / гравировка + разноцветный шнур в цветах клиента (плетение согласно фото),от 2000,"2,9","302,1",50-55,,,,,,,
 ,"Кабель-ланъярд 120 см

USB Type C + USB Type C","Материал: нейлоновые нити + металл
Упаковка: фабричная коробочка 12,5*12,5*1,5 СМ
Цвет: сток /  однотонный шнур в цвет клиента / разноцветный шнур в цвет клиента", Дизайн: шелкография на вкладыше или гравировка лого клиента на металл части + стоковый шнур,от 1000,"3,7","376,8",45-50,,,,14 100,5,15-17,
,,, Дизайн: шелкография / гравировка +  однотонный шнур в цвет клиента,от 2000,"3,7","376,8",50-55,,,,,,,
,,, Дизайн: шелкография / гравировка + разноцветный шнур в цветах клиента (плетение согласно фото),от 2000,"4,0","414,5",50-55,,,,,,,
 ,"Кабель-ланъярд 30 см

USB Type C + Lightning","Материал: нейлоновые нити + металл
Упаковка: фабричная коробочка 12,5*12,5*1,5 СМ
Цвет: сток /  однотонный шнур в цвет клиента / разноцветный шнур в цвет клиента", Дизайн: шелкография на вкладыше или гравировка лого клиента на металл части + стоковый шнур,от 1000,"2,8","289,7",45-50,,,,14 100,5,15-17,
,,, Дизайн: шелкография / гравировка +  однотонный шнур в цвет клиента,от 2000,"2,8","289,7",50-55,,,,,,,
,,, Дизайн: шелкография / гравировка + разноцветный шнур в цветах клиента (плетение согласно фото),от 2000,"3,1","318,6",50-55,,,,,,,
 ,"Кабель-ланъярд 120 см

USB Type C + Lightning","Материал: нейлоновые нити + металл
Упаковка: фабричная коробочка 12,5*12,5*1,5 СМ
Цвет: сток /  однотонный шнур в цвет клиента / разноцветный шнур в цвет клиента", Дизайн: шелкография на вкладыше или гравировка лого клиента на металл части + стоковый шнур,от 1000,"3,8","391,9",45-50,,,,14 100,5,15-17,
,,, Дизайн: шелкография / гравировка +  однотонный шнур в цвет клиента,от 2000,"3,8","391,9",50-55,,,,,,,
,,, Дизайн: шелкография / гравировка + разноцветный шнур в цветах клиента (плетение согласно фото),от 2000,"4,2","431,1",50-55,,,,,,,
