,"Менеджер: 
Email: 
Телефон: 
",,,,,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ ,Характеристики,Кастом,"Тираж, шт",Доставка Долгое ЖД,,,Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бейдж + ретрактор + ланьярд,"Надо подобрать этот карман и какие-то хорошие аналогичные. 
Печать с одной стороны, цвет приближенный к 2194 С или выкрас в пантон


Прям таких карманов, как на референсе, в наличии у фабрик нет. Подобрали аналог с похожим конструктивом. Посчитан набор: карман+ретрактор+ланьярд. Можно делать запечатку, настраивать цвет кармана и ланьярда в пантон. Если дать фабрике макет с полным кастомом, она сможет дать точную цену. Сейчас цена дана за выкрас в пантон и нанесение 1 лого. Ректрактор можно сделать другого цвета, для этого надо открыть форму, для оценки стоимости нужен макет ","Материал: пластик, нейлон
Размер: бейжд - 7*11 см снаружи, 5,4*8,5 см внутри; ланьярд - 90*2 см, ретрактор - 2*2 см
Упаковка: OPP пакет
Примечание от фабрики: 
*можно нанести лого/сделать запечатку бейджа, можно сделать запечатку ланьярда 
*вместо ленты фабрика может сделать веревку "," Дизайн: 
Бейдж и лента в пантон (без нанесения лого), ретрактор серый 
Нанесение лого на ретрактор, с 1 стороны, 1 цвет, уф печать",3500,"1,3","118,1",55-60,"1,5","137,8",45-50,"1,7","149,2",35-40,24 500,10,20-22,
,,,,,,,,,,,,,,,,,,
 ,Только бейдж,"Надо подобрать этот карман и какие-то хорошие аналогичные. 
Печать с одной стороны, цвет приближенный к 2194 С или выкрас в пантон","Материал: пластик, нейлон
Размер: бейжд - 7*11 см снаружи, 5,4*8,5 см внутри
Упаковка: OPP пакет
Примечание от фабрики: 
*можно нанести лого/сделать запечатку бейджа"," Дизайн: 
Бейдж в пантон, нанесение лого, в одном месте, 1 цвет, уф-печать",3500,"0,6","56,6",55-60,"0,7","60,3",45-50,"0,8","70,4",35-40,15 000,10,20-22,
,,,,,,,,,,,,,,,,,,
 ,Шнур,"Ланъярд можно использовать
как шнур для телефона, обвес и держатель для бейджа 
Посчитайте, пожалуйста, и как на рефе (ПВХ бусина и 2 жаккарда), и сделайте, пожалуйста, подборку с интересными вариантами","Материал: полиэстер, пвх, сликон
Размер: 120 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
открытие форм фатора для пвх"," Дизайн: жаккардовая бирка с лого, пвх с лого, нанесение лого на вставку в телефон ",3500,"4,1","370,0",55-60,"4,4","395,7",50-55,"4,7","422,6",40-45,32 000,10,20-22,
,,,,,,,,,,,,,,,,,,
 ,Перестежка,"Стропа гладкая с сублимацией 4+4 . Расчёт без маленького подвеса с фото.
ТЗ на ланьярд: 
1        Материал        стропа 
2        Цвет ленты        белый стандрат
3        Ширина        32 мм
4        Длина        1635 мм (общий) 
5        Вид нанесения        сублимация
6        Цветность        4+4
9        Резка        нарезка по прямой 
11        Доп. Операции        пошив 4 шва  , сборка
Фурнитура: 2 рамки, 2 карабина, 1 полукольуо


Вместе с ним посчитать кольцо, чтобы цеплять карман для бейджа и вкладыш для телефона
На вкладыше нанесение в 1 цвет.
Цену/сроки за вкладыш выделите отдельно, пожалуйста","Материал: стропа , металл
Размер: 1635 мм
Ширина: 3 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
фурнитура: 2 рамки, 2 карабина, 1 полукольцо "," Дизайн: цвет белый, нанесение лого- сублимация, ",3500,"2,5","228,6",55-60,"2,8","254,3",45-50,"3,1","281,2",35-40,8 900,5,15-17,
