image_id,product_id,sheet_id,position,image_type,row_number,product_name
4239,1495,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O30,0,30,Стакан
4238,1495,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O30,0,30,Стакан
4237,1495,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O30,0,30,Стакан
4241,1496,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O31,0,31,термос
4243,1497,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O33,0,33,термос
4247,1498,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O35,0,35,термос
4245,1498,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O35,0,35,термос
4246,1498,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O35,0,35,термос
4248,1499,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O37,0,37,термос для заварки чая с кейсом
4249,1499,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O37,0,37,термос для заварки чая с кейсом
4251,1499,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O37,0,37,термос для заварки чая с кейсом
4252,1499,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O37,0,37,термос для заварки чая с кейсом
4254,1500,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O39,0,39,термос
4255,1500,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O39,0,39,термос
4212,1481,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O4,0,4,Кружка
4213,1481,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O4,0,4,Кружка
4215,1482,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O6,0,6,Кружка
4214,1482,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O6,0,6,Кружка
4210,,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O7,0,,
4209,1483,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,O8,0,8,Кружка со складкной ручкой
4219,1488,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,P18,0,18,кружка+чайник
4211,1483,12_ec051isAmaW2IZVTfE38GF8gcupzTgpYzyy_KKUD0,P8,0,8,Кружка со складкной ручкой
16394,5672,12voBssLZZzfO_k-HnGlZcSq_ZRA0TbgPR9SwJtyzu4U,A5,1,5,Стикеры
12643,4358,13HA4sfjs5eEooYX4LCfYn0Tk8hd9rU8tYNn5Ia2I1Kc,A22,1,22,Шапка
18835,,148sjSgKgISUBFtTwROlpiQ117NDXXxI2DyzvCFMhYT0,O1,0,,
16129,5582,15VfFdlEEI96ax7SivgYayN-ttWG_vZAo0mkDCMc5nwg,A99,1,99,Брелок
2226,785,16_5exZy_IpIApCY8bOQ-jOnZZvTOr2efRs82eQJXpIQ,A4,1,4,Дизайн: без кастома
21644,7488,18Ab_IJTCQ8kRy4eqhl1vynYuOw8EJ4oipSXcsta0X1s,A12,1,12,Бокал для пива
10863,3781,18cwZQjIM1i7LKrG7_6jk93X4_aG-V3nIwvV3afFc7ps,A4,1,4,USB светильник
5446,1934,19N-Ca-DX19F3oyqiQ5NNuSN1BHbruVET6FOgvpzj2cM,D22,0,22,Бутылка
33757,11797,1Aq5zZHgjAVReD1scjDYvC9twEtvIiBS3kPZBq4vCpkU,A10,,,
33759,11797,1Aq5zZHgjAVReD1scjDYvC9twEtvIiBS3kPZBq4vCpkU,R10,,,
33758,11797,1Aq5zZHgjAVReD1scjDYvC9twEtvIiBS3kPZBq4vCpkU,R10,,,
18450,,1arAJrpltSndihippUGVIQPpLZ2BVQB_K6_T-MA_Akd8,A1,1,,
18444,6336,1arAJrpltSndihippUGVIQPpLZ2BVQB_K6_T-MA_Akd8,A4,1,4,Дизайн: печать
18445,6337,1arAJrpltSndihippUGVIQPpLZ2BVQB_K6_T-MA_Akd8,A5,1,5,Дизайн: по макету печать
18449,6338,1arAJrpltSndihippUGVIQPpLZ2BVQB_K6_T-MA_Akd8,A6,1,6,Дизайн: по макету
18446,6339,1arAJrpltSndihippUGVIQPpLZ2BVQB_K6_T-MA_Akd8,A7,1,,
