product_id,project_id,project_name,product_name,row_number,duplicate_number,group_size,action
331,364,[Просчет] Анна русакова / АЛРОСА фарфор 07-07-2025,Дизайн: цветная деколь,5,2,2,DELETE
15189,373,[Просчет-РФ] Подарок s7,Однослойный органайзер с добавлением дополнительного слоя СЕРОЙ натуральной кожи в ремешок и во внутренний карман,30,1,3,KEEP
15190,373,[Просчет-РФ] Подарок s7,Однослойный органайзер с добавлением дополнительного слоя СЕРОЙ натуральной кожи в ремешок и во внутренний карман,31,2,3,DELETE
15191,373,[Просчет-РФ] Подарок s7,Однослойный органайзер с добавлением дополнительного слоя СЕРОЙ натуральной кожи в ремешок и во внутренний карман,32,3,3,DELETE
366,379,[Просчет] Полина Вальницкая / Расчет (ежедневник)_Ежедневник_10000/15000/17000_Ингосстрах_КГИ_ММ 04-07-2025,Ежедневник,5,1,2,KEEP
367,379,[Просчет] Полина Вальницкая / Расчет (ежедневник)_Ежедневник_10000/15000/17000_Ингосстрах_КГИ_ММ 04-07-2025,Ежедневник,6,2,2,DELETE
377,382,[Просчет] ООО Кастомлаб / Columbus 02-07-2025,Шнурок,5,1,3,KEEP
378,382,[Просчет] ООО Кастомлаб / Columbus 02-07-2025,Шнурок,7,2,3,DELETE
379,382,[Просчет] ООО Кастомлаб / Columbus 02-07-2025,Шнурок,9,3,3,DELETE
385,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,5,1,3,KEEP
386,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,6,1,4,KEEP
387,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,7,1,2,KEEP
388,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,8,2,2,DELETE
389,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,9,2,3,DELETE
390,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,10,3,3,DELETE
391,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,11,2,4,DELETE
392,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,12,3,4,DELETE
393,385,[Просчет] Елизавета Шелопаева / Расчет (Универсальная позиция)_чехлы для планшета_1946_СБЕР_ОТВЕТ_MegaMind 01-07-2025,Дизайн: шелкография,13,4,4,DELETE
