sheet_id,position,suffix,duplicate_count,total_size_mb,sizes_mb,same_size
1oYSkJMGYMoj4VG2QK5nhRNkIVFTX1U1M0Gb6_R0pKC4,O4,,9,4.28,0.82 | 0.75 | 0.63 | 0.60 | 0.42 | 0.33 | 0.29 | 0.26 | 0.19,НЕТ
1_2nnXBrpNq0gZNq3oqirdDpRIAYTgL5BOD_0LsbyQgI,N5,,9,3.91,0.69 | 0.54 | 0.53 | 0.50 | 0.44 | 0.31 | 0.30 | 0.30 | 0.30,НЕТ
1JzTuZxTrht9WFlRDU4nIz09hSYOxv2yQjnbQnl6Em9s,T21,,9,3.50,0.65 | 0.51 | 0.46 | 0.43 | 0.40 | 0.38 | 0.33 | 0.30 | 0.04,НЕТ
11Zs0Urnzve7URBBwgWsonjjgOWc414YP_Onkxo0AMRo,N3,,9,3.56,0.62 | 0.57 | 0.50 | 0.43 | 0.31 | 0.30 | 0.29 | 0.28 | 0.25,НЕТ
1sF0lD8aO7XwcQ6VSzL5lhnduTe-P4i657Ea7kCSI5wo,N8,,9,3.26,0.60 | 0.50 | 0.48 | 0.42 | 0.38 | 0.38 | 0.23 | 0.16 | 0.11,НЕТ
1bDtXEozJguL9n4_4DOezG_DyNv_xr0DPLCmBvNeeQP4,O4,,9,0.88,0.56 | 0.16 | 0.06 | 0.02 | 0.02 | 0.02 | 0.02 | 0.01 | 0.01,НЕТ
155PgnXWVJjE3xy-c047yzGHBLMIYDB7VghVTYOg5Bgo,N4,,9,1.69,0.51 | 0.16 | 0.15 | 0.15 | 0.15 | 0.15 | 0.14 | 0.14 | 0.14,НЕТ
1llXq60o4vunez3d0XAQhrKvb5iq9dVWDFLB1Vsqhxks,O6,,9,2.31,0.40 | 0.35 | 0.26 | 0.24 | 0.23 | 0.23 | 0.20 | 0.20 | 0.19,НЕТ
1G-8TjbaISfRMFN4mI08vhyxrKzUQbFd3x4xuUKBNpg4,O4,,9,1.87,0.33 | 0.29 | 0.27 | 0.26 | 0.21 | 0.19 | 0.19 | 0.07 | 0.07,НЕТ
1yY9M5TL_2bWU18aQ251RyIJO9UlVZs9IhDmxfiRk_Dk,O6,,8,25.95,5.75 | 3.96 | 3.87 | 3.59 | 3.55 | 2.40 | 2.40 | 0.43,НЕТ
1OWnZ7znJHszXAfwIGEyyzkFHcAxDiOwb1rlRlpHMzCM,N7,,8,11.28,3.56 | 2.84 | 1.07 | 1.05 | 0.73 | 0.70 | 0.67 | 0.66,НЕТ
1bDi5p728zt3GJToMnpcZVGyRyW_QkBwJnAkEa7itIoU,O10,,8,16.97,2.90 | 2.85 | 2.82 | 2.77 | 1.51 | 1.46 | 1.35 | 1.31,НЕТ
1jWM7V7TL3kgwKfxys4kiPq_p6n79K3df7NayG3Po5Nc,O13,,8,12.18,2.79 | 2.79 | 2.53 | 1.57 | 1.48 | 0.47 | 0.34 | 0.21,НЕТ
16ggbSNND_PfItKomZVCrmVqttPsC76hPbyJSQX9FQlg,N4,,8,10.49,2.64 | 2.32 | 2.18 | 1.59 | 1.38 | 0.19 | 0.14 | 0.05,НЕТ
1kR3L3Q6j9BrpipvmBGmDCGZDXGj9vAtMswTQYlBtB4Q,O4,,8,9.87,2.62 | 2.22 | 1.87 | 1.75 | 1.33 | 0.03 | 0.03 | 0.02,НЕТ
1q-MWyJxgmkM9ZLpZHmX4ZdyURLXffatQcGbCIaL06ak,R7,,8,11.49,2.27 | 2.09 | 1.93 | 1.46 | 1.24 | 0.98 | 0.88 | 0.65,НЕТ
1gqPYfzfuJe1Zsb6DfKUciJOqf2ef4ER5AWlyjbBVsKU,O4,,8,8.52,2.08 | 1.25 | 1.23 | 1.21 | 1.17 | 1.08 | 0.26 | 0.24,НЕТ
1,U4,,8,7.87,2.05 | 1.83 | 1.20 | 0.92 | 0.59 | 0.59 | 0.37 | 0.33,НЕТ
1doZpG1Jtd850cGWPYlvDNOsgkBHdk2Pnjm9rPUZzhqo,O4,,8,5.11,1.91 | 1.65 | 0.48 | 0.35 | 0.30 | 0.25 | 0.09 | 0.08,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P4,,8,14.16,1.77 | 1.77 | 1.77 | 1.77 | 1.77 | 1.77 | 1.77 | 1.77,ДА
1V73j5OvdiwpgPrZm_K61c-fzmCC4Lk8Crw3vMP4VhsU,O10,,8,5.89,1.55 | 1.22 | 0.79 | 0.57 | 0.53 | 0.47 | 0.38 | 0.37,НЕТ
1Xr9OCrF2tqTK0C3JEIlYVRMyv_DKSlizrOfAfSVuPfc,O9,,8,4.58,1.43 | 0.92 | 0.75 | 0.61 | 0.27 | 0.26 | 0.20 | 0.13,НЕТ
1k7PezR5QghcvL_kcBcNdaaa0rFLbk5Jnwt6PUKfICa8,N13,,8,6.76,1.40 | 1.20 | 0.92 | 0.82 | 0.70 | 0.68 | 0.66 | 0.38,НЕТ
1DUbmC9tKglhev6YvREJN8EmXxrZn8tVsAC7YEY03z3A,N15,,8,5.10,1.39 | 0.64 | 0.62 | 0.58 | 0.55 | 0.49 | 0.47 | 0.37,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A11,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A25,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A32,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A46,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A4,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A53,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A67,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A74,,8,10.88,1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36 | 1.36,ДА
1S_kfOTVgc43O0Cz-RaeBDHl1hNvZmE8DPxUXwzXdlfw,N10,,8,3.31,1.30 | 0.74 | 0.28 | 0.22 | 0.21 | 0.20 | 0.20 | 0.17,НЕТ
1gb5nL1Z4T3EHpqGCSKD4gtQaGkj_U5Njrys8eJHsU_4,O4,,8,3.01,1.26 | 0.37 | 0.36 | 0.30 | 0.26 | 0.23 | 0.13 | 0.11,НЕТ
148sjSgKgISUBFtTwROlpiQ117NDXXxI2DyzvCFMhYT0,O4,,8,4.15,1.09 | 1.04 | 0.63 | 0.53 | 0.33 | 0.21 | 0.20 | 0.13,НЕТ
19Ew0bDbIxnYViQbk09upErW9mlXuxHoViU2GGxyV1ek,N5,,8,8.17,1.07 | 1.05 | 1.04 | 1.03 | 1.03 | 0.99 | 0.99 | 0.98,НЕТ
1SPOdimf3PO4bdjeb-k8qD25p5QhHXXJ_CeZwmWVNhAU,O4,,8,3.89,0.96 | 0.81 | 0.48 | 0.47 | 0.38 | 0.38 | 0.33 | 0.08,НЕТ
1o_icWFYnYOSx3mkvWUwJAGuoQvJOcicnky9ddKVj9WM,O12,,8,3.71,0.90 | 0.84 | 0.79 | 0.26 | 0.25 | 0.24 | 0.23 | 0.19,НЕТ
1RQSY1Lob,R6,,8,3.19,0.75 | 0.65 | 0.43 | 0.37 | 0.31 | 0.29 | 0.28 | 0.11,НЕТ
1RQSY1Lob,R8,,8,3.61,0.75 | 0.65 | 0.53 | 0.43 | 0.37 | 0.31 | 0.29 | 0.28,НЕТ
1Gz5qTzRWE1BqfGmoD90pii-T9pCx6upLWOdBgiIDcOI,O20,,8,3.53,0.71 | 0.56 | 0.47 | 0.47 | 0.43 | 0.37 | 0.30 | 0.22,НЕТ
1EzzQlLUTeCdzqNn2b1G4cyyhXzx86iE2qqG7NcwL6S0,O11,,8,3.46,0.69 | 0.60 | 0.54 | 0.34 | 0.33 | 0.33 | 0.33 | 0.31,НЕТ
1EzzQlLUTeCdzqNn2b1G4cyyhXzx86iE2qqG7NcwL6S0,O8,,8,3.41,0.69 | 0.60 | 0.54 | 0.34 | 0.33 | 0.33 | 0.31 | 0.27,НЕТ
11q1cHZ-RbufJl1V9l79qAZxduLCwL0AVxRgzbZy8q5A,O16,,8,3.03,0.66 | 0.53 | 0.45 | 0.40 | 0.33 | 0.27 | 0.21 | 0.17,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A12,,8,5.27,0.66 | 0.66 | 0.66 | 0.66 | 0.66 | 0.66 | 0.66 | 0.66,ДА
1r9N9WKl3TlQdcn_QT9C2nIjkV23n2mnRnq0okMTLv3k,O18,,8,3.84,0.65 | 0.59 | 0.59 | 0.52 | 0.45 | 0.42 | 0.40 | 0.22,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A81,,8,5.12,0.64 | 0.64 | 0.64 | 0.64 | 0.64 | 0.64 | 0.64 | 0.64,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P11,,8,4.97,0.62 | 0.62 | 0.62 | 0.62 | 0.62 | 0.62 | 0.62 | 0.62,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,P54,,8,4.97,0.62 | 0.62 | 0.62 | 0.62 | 0.62 | 0.62 | 0.62 | 0.62,ДА
1tOjQ1vH6lTcD5FD0F8Ert7dBgWEXZ462mTcw3aBvEYM,O13,,8,2.71,0.60 | 0.56 | 0.48 | 0.24 | 0.24 | 0.22 | 0.18 | 0.18,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A26,,8,4.76,0.60 | 0.60 | 0.60 | 0.60 | 0.60 | 0.60 | 0.60 | 0.60,ДА
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A68,,8,4.76,0.60 | 0.60 | 0.60 | 0.60 | 0.60 | 0.60 | 0.60 | 0.60,ДА
1B4oKDK97gy0IAieQnSOtAY0kLsZaiRIfBs70ztXKwkw,O6,,8,2.49,0.55 | 0.45 | 0.44 | 0.29 | 0.26 | 0.21 | 0.18 | 0.12,НЕТ
16ggbSNND_PfItKomZVCrmVqttPsC76hPbyJSQX9FQlg,N12,,8,4.08,0.54 | 0.54 | 0.54 | 0.52 | 0.51 | 0.49 | 0.49 | 0.45,НЕТ
1xAPdmVpr2XPJy8c9k3E3z9ZJHvn44Kdzc8KtgsyZpgw,A39,,8,4.22,0.53 | 0.53 | 0.53 | 0.53 | 0.53 | 0.53 | 0.53 | 0.53,ДА
