sheet_id,position,suffix,duplicate_count,total_size_mb,sizes_mb,same_size
1tqZ9Ebv9ILgS3hNEcqJ0vwj8se-6_GHO_tt7SgOLnG8,O4,,3,2.70,1.75 | 0.73 | 0.22,НЕТ
1zeSQj3PnAqzcxgWiw7o7aXdNp5iXz1CnJfTfT8is7f0,O7,,3,3.55,1.75 | 1.07 | 0.73,НЕТ
1ZRJANhLTJYSLShcXQyG8NnEzXC3RAzNur_SYJpjF2WY,O4,,3,3.24,1.73 | 0.88 | 0.63,НЕТ
1PqQd2-CB6Yc3ub8UfZtBp6m9pq4ur40Z3pQmtwQRHEg,N5,,3,2.02,1.73 | 0.24 | 0.05,НЕТ
1hBrqW7Eb1LEd8LaqYvsgkw2Le2A2CsI-7JitkF2I5bw,O4,,3,3.27,1.72 | 1.08 | 0.47,НЕТ
1fdXv_hqjg5JT6R2PEMQsSdN5sg2HK_gu9xRqlJIraFo,O7,,3,2.19,1.72 | 0.26 | 0.20,НЕТ
1exBTR2Lm,R4,,3,3.79,1.71 | 1.05 | 1.03,НЕТ
1KgsxWFZiER-Gt8VrR3mVNeLHbGMV8-OboJsNar89tyA,N12,,3,3.87,1.70 | 1.63 | 0.54,НЕТ
1Peugr1gKXkQSZOcuP7hSxVJJuEhu6RayxpK_VOJSzJg,P8,,3,4.44,1.70 | 1.65 | 1.09,НЕТ
1o-pd9SKFuEUx2s_lCckvFP0yMH2u8ph5jztltysFiFk,N127,,3,3.23,1.70 | 0.93 | 0.60,НЕТ
1UzMV,O7,,3,2.93,1.69 | 1.19 | 0.05,НЕТ
1gAc2WocHYb-yyoQD-ecD22zvPb4dxO3qebRGKklWXSY,Q48,5,3,5.07,1.69 | 1.69 | 1.69,ДА
1OWnZ7znJHszXAfwIGEyyzkFHcAxDiOwb1rlRlpHMzCM,N6,,3,3.03,1.68 | 0.91 | 0.45,НЕТ
1fLlb0lmIAol49sJEV6g-ID_xZqi6PMVpEb3Zcb2ImQc,O4,,3,2.66,1.68 | 0.65 | 0.33,НЕТ
1OaGkr4Bej9rMguBzA72R1Kk0mGzQOyWTcXWZXGOYcWU,O28,,3,2.61,1.66 | 0.87 | 0.08,НЕТ
1T2x-SQF2ZID3NHUMHQz_wnW6LahiKZuE4Wk6DW0KVvc,A11,,3,1.70,1.66 | 0.02 | 0.02,НЕТ
1Cxj99xFDwMJolfTOG0_FyMCs7_aAiT31S-3Afmy2jYg,N6,,3,3.28,1.65 | 0.82 | 0.81,НЕТ
1YSVSRizjms3F-XDO9e40Q8EumrnoG71T7lRZ_nQ8RAs,O4,,3,2.30,1.65 | 0.58 | 0.07,НЕТ
1um0gl_IW0HwJWwoIKZAm1RXfEJylHoCUn6bT9uvwblw,N8,,3,4.61,1.65 | 1.56 | 1.40,НЕТ
192I4LS0NZCicBk_bnZjYd5gZhFrBfUgiFhYMPjU8lek,N20,,3,2.93,1.64 | 0.66 | 0.63,НЕТ
1vLsg8MOvj8bqJDhHQnJ5T7kn0SdH2IpHkMFu1L82FuQ,L6,,3,4.74,1.63 | 1.56 | 1.55,НЕТ
1qpBcPiN2cy4f7073W5Un1tIuDzIljQUpMBggNa0otzA,J4,,3,3.20,1.62 | 1.09 | 0.49,НЕТ
1ILqa9VncSbA75tbcAhPFEj_HZ5-_OCeDiF8b78YHneo,O5,,3,3.58,1.62 | 1.05 | 0.91,НЕТ
1UO_ljYwZ9mpdZrrsuHBfus6tLgoTDlknRuuHVAo8F9U,N29,,3,4.25,1.62 | 1.33 | 1.30,НЕТ
1I6jDlrU-ntetMlfA-GFkcFnZDOlclAHkTD8sre0GNXI,U12,,3,2.49,1.62 | 0.51 | 0.36,НЕТ
1gAc2WocHYb-yyoQD-ecD22zvPb4dxO3qebRGKklWXSY,Q35,2,3,4.83,1.61 | 1.61 | 1.61,ДА
1FHHpsQJR-N_20w4mas6ggIDB7PCzqr4hv_kc8602ok0,M8,,3,4.83,1.61 | 1.61 | 1.61,ДА
1UKDKmpbutlEabYT8F08zTAsurZ1GEREXKyx2ORyH3v0,O10,,3,2.86,1.60 | 0.92 | 0.34,НЕТ
1rGYfykIYtrEF1a4ZEBvA,R5,,3,3.10,1.60 | 0.82 | 0.67,НЕТ
1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE,L70,4,3,4.80,1.60 | 1.60 | 1.60,ДА
17RFfOWloyExds4MsSSGbTrlDaqmSSaqSFar-3g5Nz_Y,O12,,3,4.71,1.59 | 1.57 | 1.55,НЕТ
1wLtbXAQeE2DbSolm6chHLQ7WRUd1asa-TyLO30MozRM,R4,,3,2.05,1.59 | 0.23 | 0.23,НЕТ
12d6sY43YmhYkay9dMH1LXiBK2C2H2j5uwxQK4Sj_ne8,O6,,3,4.10,1.58 | 1.51 | 1.01,НЕТ
1um0gl_IW0HwJWwoIKZAm1RXfEJylHoCUn6bT9uvwblw,N10,,3,4.20,1.58 | 1.53 | 1.09,НЕТ
1hchGBuhFkndo_3eoqD5lrMZwVroJchJVaMayNM0lauw,O6,,3,1.73,1.58 | 0.12 | 0.03,НЕТ
11YJZDaYHLi8JXoswrvFWN79bOp1K2cRVKxhEt0ZFFpI,O31,,3,2.29,1.58 | 0.43 | 0.28,НЕТ
1Q0ZncLe4VO3DH5qOr7jM5972TobdV8Em4ErZaxY7hvM,O6,,3,2.95,1.57 | 1.33 | 0.05,НЕТ
1c1O8YPH59YPg-qQ_mgeP_OUZ5xaLPQaYJsxeBC0zcgQ,O22,,3,2.95,1.57 | 1.33 | 0.05,НЕТ
1ruSG8P8wKCbnAV-ns8PyUCjYZZYpu90PY7tOoXUCors,O4,,3,3.64,1.57 | 1.49 | 0.58,НЕТ
1ZS7d4Pq4epeuSA7Le3R1Z20hwQS-ZMJMDreHuPjzy1Q,N6,,3,2.56,1.57 | 0.67 | 0.32,НЕТ
1Q9yQVikTo47hATns0eWgw6wcQvxRG4ufgGhT4cs1a3o,O19,,3,3.11,1.56 | 1.37 | 0.18,НЕТ
1-d5ReBbtL98hXgktQ4PfVgYRegOR4trRM0TR1qXlAmY,S21,2,3,4.68,1.56 | 1.56 | 1.56,ДА
1gAc2WocHYb-yyoQD-ecD22zvPb4dxO3qebRGKklWXSY,Q13,2,3,4.68,1.56 | 1.56 | 1.56,ДА
1fLlb0lmIAol49sJEV6g-ID_xZqi6PMVpEb3Zcb2ImQc,O10,,3,3.29,1.55 | 1.22 | 0.52,НЕТ
1MrNyorVecSCcplka2Vj8DA4iJQeeoudJvc7GGljNlT0,O8,,3,2.18,1.55 | 0.33 | 0.30,НЕТ
1xrBJjbl6ny-OvvmLArcO_QSSWsoDqPuBKv09kxzqtpE,N12,,3,2.65,1.55 | 0.71 | 0.39,НЕТ
1ddBlesMdA4KmZ7wcOWbzY2MVsYbMbrzQ-fJiDniowp0,O6,,3,2.19,1.55 | 0.33 | 0.32,НЕТ
1fMglqN_PvSsRscoI6e4r2fSQXQsTR0fROXAf2Wycij8,N17,,3,2.35,1.54 | 0.45 | 0.36,НЕТ
1Lp6FPzpN3WKOS9lCtmuOAkTl6Nqc2p171ay2qpRS0C0,N4,,3,2.13,1.54 | 0.33 | 0.25,НЕТ
1dzzobOxDrnfAtUhaxmkA2efWgbrCDsqG05eknzsdsn0,M42,2,3,4.62,1.54 | 1.54 | 1.54,ДА
1rDVf9XhMfmEI0lMWa8m3Hb5q5dFAhWpA6tggtNqwb6k,N4,,3,3.87,1.54 | 1.38 | 0.95,НЕТ
12F7OCsZsOpbAYhzWNEFHdTDLWCmg45zD8lv7nnvccWQ,N9,,3,3.50,1.54 | 1.05 | 0.91,НЕТ
1T2BEdenjU4VgTqeNnKGYThL1Y4_RqScsdTCsthlBBvg,O13,,3,2.91,1.53 | 1.25 | 0.13,НЕТ
1uEUtanqhRtjqiXrDKkZCBOywi_VEioMQXerSkk5qt3o,N12,,3,3.71,1.53 | 1.11 | 1.07,НЕТ
1e6MXDJz_zuBq_Q_rGdFKT4fWH--PufDS1PHPTPksUGI,O10,,3,3.97,1.52 | 1.23 | 1.22,НЕТ
1fwcLXh3LHAIcRnAtvfzQFrbqr3o8rVYoYmZFxYdcsLQ,O6,,3,2.17,1.52 | 0.50 | 0.15,НЕТ
1RQSY1Lob,R4,,3,3.36,1.52 | 1.47 | 0.37,НЕТ
1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE,L95,,3,4.53,1.51 | 1.51 | 1.51,ДА
1dsZYwzaMnh4aISnJEi131anAqxY3VPQ6X0_nqkdZhck,O4,,3,3.19,1.51 | 1.12 | 0.56,НЕТ
1dsZYwzaMnh4aISnJEi131anAqxY3VPQ6X0_nqkdZhck,O5,,3,3.24,1.51 | 1.12 | 0.61,НЕТ
1h0JFzJZPFU5nowGbe9wXrhYSAKWyIxgJ7n-x4-KSmkY,O5,,3,3.60,1.51 | 1.12 | 0.97,НЕТ
15kJKyzS8FTNpTstqULE_o129CZmN253qDe72bhTpzSU,O10,,3,2.58,1.51 | 0.65 | 0.42,НЕТ
1wTHXmyniXQxxFvDDgDy-w9sUNYXrsWLaZAJzvhjLj20,O4,,3,2.43,1.51 | 0.52 | 0.40,НЕТ
1n_Q62iU9vXGrs_ZiNrlBLjDTUn4bH88zW48uUJGii9c,O4,,3,2.28,1.50 | 0.45 | 0.33,НЕТ
1dzzobOxDrnfAtUhaxmkA2efWgbrCDsqG05eknzsdsn0,M42,,3,4.50,1.50 | 1.50 | 1.50,ДА
1gAc2WocHYb-yyoQD-ecD22zvPb4dxO3qebRGKklWXSY,Q13,,3,4.47,1.49 | 1.49 | 1.49,ДА
17qcAtcYcaHgFC8O8TcK8S2exCC4z-7BJV60OkbQXD6o,O12,,3,2.36,1.49 | 0.69 | 0.18,НЕТ
104Fz9T97KrspkXKbDKW1fO8AmYTwMOFgdb4UaL-U6qM,O4,,3,3.80,1.49 | 1.35 | 0.96,НЕТ
1sF0lD8aO7XwcQ6VSzL5lhnduTe-P4i657Ea7kCSI5wo,N4,,3,3.04,1.48 | 1.25 | 0.31,НЕТ
1gAc2WocHYb-yyoQD-ecD22zvPb4dxO3qebRGKklWXSY,Q45,,3,4.44,1.48 | 1.48 | 1.48,ДА
1d-g8XHjz74XAyDk8T0bIcHGQgr6K3tfcmm65kJwPzig,N9,,3,2.58,1.48 | 0.64 | 0.46,НЕТ
1YTTf7ot7D8-d1S3DIJ5Kw3WLWbNzphU_V5oYqg09Yok,O5,,3,3.49,1.48 | 1.13 | 0.88,НЕТ
1dzzobOxDrnfAtUhaxmkA2efWgbrCDsqG05eknzsdsn0,M16,2,3,4.41,1.47 | 1.47 | 1.47,ДА
1U4PAemMbnusJoNATGeyLpYplSUXu3ByvkMRhJYZzwrY,O4,,3,3.20,1.47 | 1.15 | 0.58,НЕТ
1uqfYxHoFgjfuVqTRiopNkbZ,L3,,3,3.20,1.47 | 1.15 | 0.58,НЕТ
1Mfxf_Xv96Wj9I6DXnNRrVN2LPOigdxp1m99EPptsORw,O10,,3,3.81,1.46 | 1.21 | 1.14,НЕТ
1J0u6qvPCg3pK3gXQMpYz5fvcQjXbjc6o3Ejpr0om9UQ,O4,,3,2.17,1.46 | 0.39 | 0.31,НЕТ
12LPzpYPzjDEUsc2Et4oJha1AubuAy6NwljcFeIwK7zw,O4,,3,2.09,1.46 | 0.40 | 0.22,НЕТ
1OYgW65vluog09BPeq0PujMcDxZrm5SOjJg3LUbV1wBU,O20,,3,3.39,1.45 | 1.40 | 0.54,НЕТ
1BAEgm3lpkyZSYbjdhhYijLmpqg77ZJskxHJ4prqPG-g,O4,,3,3.81,1.44 | 1.36 | 1.01,НЕТ
1a9vgShLgGBWaMzKq4lFdVnC77TU4rJHsdETC34gVwe8,R4,,3,2.31,1.44 | 0.60 | 0.26,НЕТ
1WAFUU24pT09MOPtouFhCz35lyYWcpH6-OONF6w0On3s,O4,,3,1.56,1.44 | 0.06 | 0.06,НЕТ
1qNTsZX0pKymkn3An5Zbsd7bWjrSbBIHLJpSlbFgitbg,O5,,3,4.25,1.44 | 1.41 | 1.40,НЕТ
1fdKJM4uRza52SQB1IRH0YEC_vyz9uF0BacyPE12pGyk,O4,,3,3.45,1.43 | 1.34 | 0.68,НЕТ
1FIAT6riAGCmfxXX6QgPYQgYY0g2Gs3h1cy0yDyi46DQ,O4,3,3,4.29,1.43 | 1.43 | 1.43,ДА
1FHHpsQJR-N_20w4mas6ggIDB7PCzqr4hv_kc8602ok0,M4,,3,4.29,1.43 | 1.43 | 1.43,ДА
16toM9Nrt3pSI_I5a1oWF1V-GA_rJf6NC9MADUknw7JU,N4,,3,3.48,1.43 | 1.19 | 0.86,НЕТ
1xdARVV5efRQqWutTSfUMXpk2iFnmyJstp2svqHM0nJs,O10,,3,2.90,1.42 | 1.29 | 0.19,НЕТ
18Keuqv6o_zxUtXBnnry1N6ufh85rzwV0RzIklhoXXt8,O6,,3,3.40,1.42 | 1.36 | 0.62,НЕТ
19Kbzsn-vEzXjwsJrJXUKr04loJpiumKbmoLYJTXkLP0,O4,,3,2.95,1.42 | 1.39 | 0.14,НЕТ
1CVl,U4,,3,2.32,1.41 | 0.55 | 0.36,НЕТ
1TRUDZGIyyDi7ml-IoenlTlZqUaHVTSTkCxgoG_3Z4v0,N4,,3,1.81,1.41 | 0.24 | 0.16,НЕТ
1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE,L4,3,3,4.20,1.40 | 1.40 | 1.40,ДА
1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE,L56,,3,4.20,1.40 | 1.40 | 1.40,ДА
1aUOL4DPp5Z3wb9_XMuiTYl2uNC-6KlYGDZxx7CcU6Ic,N67,,3,3.39,1.40 | 1.36 | 0.63,НЕТ
1K-z8ZXxvQmn1F4Yt4W5SPEio0rAnwcqba5gi953c7Qo,O4,,3,1.81,1.40 | 0.23 | 0.18,НЕТ
1TB5oBfM1o76WKhpUK7DZ4EyBMWwoerLyO5IOlslS4dU,N4,,3,2.68,1.39 | 1.23 | 0.06,НЕТ
1NaKk9PCAe-SrKUuz5KEa5sZT77buv3_iW1tqOqZnDHs,O16,,3,2.86,1.38 | 0.77 | 0.71,НЕТ
1G84fRx-TINEznJWAYUCUXnvpwqSR13h51TU9-SV-HNU,L13,,3,4.14,1.38 | 1.38 | 1.38,ДА
1UAnfEhWKKwLLE_N_raoDB91CIi8-5qQ2uSK_rjZupLE,O8,,3,2.69,1.38 | 0.92 | 0.39,НЕТ
1iB1J0TJevoHzrduqeySqO6gI_xLdhSDV9jxOdKICDY8,P25,,3,4.14,1.38 | 1.38 | 1.38,ДА
1gAc2WocHYb-yyoQD-ecD22zvPb4dxO3qebRGKklWXSY,Q6,2,3,4.11,1.37 | 1.37 | 1.37,ДА
1HkTNFxnCDJ6VRNz9CdcvEniM6eW1XwyQpSD53Gn_Gw4,N4,,3,2.76,1.37 | 1.13 | 0.26,НЕТ
1J2l-QGk7ok6MnO1vrtU6WDE9TIUorutJdwZSONBHsG0,R7,,3,1.82,1.37 | 0.23 | 0.22,НЕТ
1eeV2mh3_oy8qU3T_dooLzP-8DGbIcvhCjRMKZo2A6zo,O8,,3,3.30,1.37 | 1.20 | 0.73,НЕТ
1_OLXHsXbF2vxUaykIcxUq17j52gAd7VQXBF-yOkws8A,O13,,3,3.05,1.36 | 1.29 | 0.40,НЕТ
1H3RSiDlybNIWhDakB-1lQ017Kr-M2MQj0yJxAWr2r,J4,,3,3.38,1.36 | 1.24 | 0.78,НЕТ
1tadByKcZFWoLp05vV_TqaPslPdZVi-_ofiSBmF6_GR0,O7,,3,2.83,1.36 | 1.10 | 0.37,НЕТ
1CGILnqdzp_FxvRwxpNhH7ruRkxXOozLkvV44kFOa5iE,N8,,3,1.69,1.36 | 0.21 | 0.12,НЕТ
1Xu0461D7V1jSFnVBwb20REDjGT_Y1bRZZu3y_H8itB4,O25,,3,3.20,1.34 | 1.26 | 0.60,НЕТ
1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE,L95,2,3,4.02,1.34 | 1.34 | 1.34,ДА
1CGILnqdzp_FxvRwxpNhH7ruRkxXOozLkvV44kFOa5iE,N10,,3,2.36,1.34 | 0.87 | 0.15,НЕТ
1mRsfXg2nAxAjCoh27YA4-mad2aBfGUh1bQVYQVPBfg4,K4,,3,3.56,1.34 | 1.29 | 0.93,НЕТ
1Oeywwu4Hqn05kRxhWPGvUBG_knNvwhQttWlU76shcXI,N29,,3,3.73,1.33 | 1.30 | 1.10,НЕТ
1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE,L95,4,3,3.96,1.32 | 1.32 | 1.32,ДА
1-loopq3i77PzosJdJSjxTASVocXdQ15bGWmtEErjoZo,O5,,3,3.88,1.32 | 1.31 | 1.25,НЕТ
1_bukj2NbYZ1qZ15sClDpuC0VhnnNhdil-WdUYMNsuYE,O6,,3,3.17,1.32 | 1.04 | 0.81,НЕТ
1dzzobOxDrnfAtUhaxmkA2efWgbrCDsqG05eknzsdsn0,M4,,3,3.90,1.30 | 1.30 | 1.30,ДА
1bn7p7cskvrtssRUbhNJZBk2lF6DVUY-_isl93WYlH2Q,O24,,3,2.69,1.30 | 0.75 | 0.64,НЕТ
14bIAUDmOxrT9_0h5AoRx0SlVCkXKzKvwLZiGQtMNZls,N6,,3,1.58,1.30 | 0.19 | 0.08,НЕТ
1W29xb6fNOwLleVpV8wd0JWFDM38dgn4wa4HsKeaNkkg,O12,,3,3.05,1.30 | 1.13 | 0.62,НЕТ
1W29xb6fNOwLleVpV8wd0JWFDM38dgn4wa4HsKeaNkkg,O14,,3,3.05,1.30 | 1.13 | 0.62,НЕТ
1D15VQR6rpugMHoyoTVuI0MDdJq_64M-4TGkVg6ngAy0,N10,,3,2.67,1.30 | 0.78 | 0.59,НЕТ
15FTCOPrqqyHlcuElyVImNSa_C6hFvVo48Db3lXtBPQM,O44,,3,2.16,1.29 | 0.55 | 0.32,НЕТ
1fhvcx_F59bAeRLG-vzQx1-8vc6umuVY5nKmMv9Avq-I,N11,,3,2.17,1.29 | 0.45 | 0.43,НЕТ
1kByDGkti3dXnvY4N41gU9lLtWUkjSKIhEW5w7yRnrtQ,O4,,3,1.59,1.29 | 0.15 | 0.15,НЕТ
1-wqfEjbthdVBMytPj7M7RoizYJjHp9DNn7Q7gw8XZW0,L4,,3,3.08,1.29 | 0.96 | 0.83,НЕТ
1JuKYcuvmbnKQbB-OnmoNAx_uQZlD4FfcS1I57-DjGn0,O4,,3,3.53,1.28 | 1.25 | 1.00,НЕТ
10FtgxsuU3iaUg7wRUuAgy5yPm-Y-tSQL1huCfuL42Ow,O4,,3,2.15,1.28 | 0.54 | 0.33,НЕТ
1dzzobOxDrnfAtUhaxmkA2efWgbrCDsqG05eknzsdsn0,M27,,3,3.84,1.28 | 1.28 | 1.28,ДА
1Ooe1KDpELsuO12LxwpkIBV8EcZ7htfJ4d4lABD2XTiU,O27,,3,3.00,1.27 | 1.24 | 0.49,НЕТ
1EaF5mGO4noTQEcAv7tQAEPokOUXah1InPq5ROHz-ZfQ,O10,,3,2.16,1.27 | 0.66 | 0.22,НЕТ
1NaKk9PCAe-SrKUuz5KEa5sZT77buv3_iW1tqOqZnDHs,O15,,3,2.87,1.27 | 1.12 | 0.48,НЕТ
12F7OCsZsOpbAYhzWNEFHdTDLWCmg45zD8lv7nnvccWQ,N4,,3,2.52,1.27 | 1.09 | 0.16,НЕТ
17Y5ilb95T7UPkRIOHcFajqKJS-Hi824gkeGKGjQq6m4,N15,,3,1.43,1.27 | 0.10 | 0.06,НЕТ
1U3grD1op0P0AJRWRrla3A_sikKYhyaWHVxxv7PE6UYg,N6,,3,1.91,1.27 | 0.33 | 0.30,НЕТ
1S-kVxser_AbC3mXsYL1kYr07ESC_Uucf8S2JOc9brjQ,O31,,3,3.50,1.26 | 1.19 | 1.05,НЕТ
1ay0mR0w-P6L,J6,,3,1.94,1.26 | 0.50 | 0.18,НЕТ
17_5qDt31HV6gou61XhLUkBtnqnVziRwpgSFIRC-0Bic,O4,,3,2.87,1.25 | 0.91 | 0.71,НЕТ
1fgWVp6XOOYmc-VuSdMTrGZzF0S8vloAE-yHjxVHOlCE,L38,,3,3.75,1.25 | 1.25 | 1.25,ДА
1-iaH2m6mnOJf0BSNNUg4mb8igqDPHhknp1XvXthGTAo,L4,,3,3.08,1.25 | 1.24 | 0.59,НЕТ
1a4hwVRinB3smeFu6PE9OUGO6rgPJReghn4cjLM0374M,O13,,3,2.60,1.24 | 0.87 | 0.49,НЕТ
1f9kYc3UUj9tyqWsYx0Hj6qdGnNpvxtiu2A9D4CWLubI,Q6,,3,2.71,1.24 | 0.85 | 0.62,НЕТ
1dxlCrNFv6gliCcEnPYEsAhmhw7H4n3Ov2NX8UbwuG_k,O5,,3,2.15,1.24 | 0.48 | 0.43,НЕТ
11Zs0Urnzve7URBBwgWsonjjgOWc414YP_Onkxo0AMRo,N9,,3,2.99,1.24 | 1.09 | 0.66,НЕТ
10kU6rBne5amgXZFU7fMcVA6emW_2MfFMgWgAmYrz8Xo,N18,,3,2.60,1.24 | 0.75 | 0.61,НЕТ
1a4hwVRinB3smeFu6PE9OUGO6rgPJReghn4cjLM0374M,O4,,3,1.94,1.24 | 0.40 | 0.29,НЕТ
1xdARVV5efRQqWutTSfUMXpk2iFnmyJstp2svqHM0nJs,O13,,3,2.75,1.23 | 1.08 | 0.44,НЕТ
1o-pd9SKFuEUx2s_lCckvFP0yMH2u8ph5jztltysFiFk,N115,,3,1.69,1.23 | 0.28 | 0.17,НЕТ
1dA1aVcRIrqUF8VX-rq0Prbo7HC8d73e-bo6n8UJESFU,K9,3,3,3.69,1.23 | 1.23 | 1.23,ДА
1dzzobOxDrnfAtUhaxmkA2efWgbrCDsqG05eknzsdsn0,M28,2,3,3.66,1.22 | 1.22 | 1.22,ДА
1kZ5eJPsZBiXdp9V5Sa_hTgvlrX1hPeMx7BBjaxVBcHw,O4,,3,2.94,1.22 | 1.04 | 0.68,НЕТ
13UXrUXEqB7xkeQEBijIihRa_Q_p-1AQJGT82S3eaY_Q,N8,,3,2.55,1.22 | 0.75 | 0.58,НЕТ
1x043BiZmx3ghiG6A27ineihOGKwKkTz7SZq38qFkk-U,O4,,3,3.52,1.22 | 1.17 | 1.13,НЕТ
1dA1aVcRIrqUF8VX-rq0Prbo7HC8d73e-bo6n8UJESFU,K9,2,3,3.66,1.22 | 1.22 | 1.22,ДА
1Ev6HKS73MHjW-HxUoduSi0eVdteruz3YbImlf_JfdTg,O4,,3,2.87,1.21 | 0.85 | 0.80,НЕТ
1hlMvD,I17,,3,1.81,1.21 | 0.52 | 0.08,НЕТ
1HHmWdy,P23,,3,3.50,1.21 | 1.19 | 1.10,НЕТ
1ybflNuotytztP0NTCNiko6AkIUmX1R5OMiS6UcyxVa0,R4,,3,1.82,1.21 | 0.51 | 0.10,НЕТ
1Oi0HYhdQHN7tBROz4g3F085ZvNvcKzLHDCkfcs6On6s,O5,,3,2.32,1.21 | 1.03 | 0.08,НЕТ
1dA1aVcRIrqUF8VX-rq0Prbo7HC8d73e-bo6n8UJESFU,K100,2,3,3.60,1.20 | 1.20 | 1.20,ДА
1OzzdiWKgX8hg2r,R21,,3,1.82,1.20 | 0.46 | 0.16,НЕТ
1ySpri81IGlQVxNspr1JCffBkWMG60mPhxlK1-HIHjDg,O7,,3,2.51,1.20 | 0.89 | 0.42,НЕТ
1z7uR9j2hKN7xrkX_6ZFv-IRKSJ7CT2z2xPJcfd1ekdk,O8,,3,2.64,1.20 | 0.90 | 0.54,НЕТ
1voTkH4ncnQbOKp1BoEQWGvkH8hRv0F39kY-8tu6JAr4,N12,,3,1.61,1.19 | 0.22 | 0.20,НЕТ
1voTkH4ncnQbOKp1BoEQWGvkH8hRv0F39kY-8tu6JAr4,N4,,3,1.61,1.19 | 0.22 | 0.20,НЕТ
1voTkH4ncnQbOKp1BoEQWGvkH8hRv0F39kY-8tu6JAr4,N8,,3,1.61,1.19 | 0.22 | 0.20,НЕТ
1ppbZkChuQc6cphgLYTQmpcNhZzBSNtF8xnKvc9Gq9rM,K42,,3,2.62,1.19 | 1.00 | 0.43,НЕТ
188YJqb68Y0528Hxk33Cf7lhhS-7Rm7j0smjDt9OUmQA,O22,,3,2.92,1.18 | 1.14 | 0.60,НЕТ
1QrJiLJDJOa3nhx53wf5x0MzRUqXbIJ5tN8KbVLbv6oI,P7,3,3,3.54,1.18 | 1.18 | 1.18,ДА
1ppbZkChuQc6cphgLYTQmpcNhZzBSNtF8xnKvc9Gq9rM,K51,,3,3.07,1.17 | 1.05 | 0.85,НЕТ
1f1wVtdoMfDVS5S14HEtGAQvt9sU1Tn6crJ,R4,,3,2.34,1.17 | 0.97 | 0.20,НЕТ
1Peugr1gKXkQSZOcuP7hSxVJJuEhu6RayxpK_VOJSzJg,P5,,3,3.24,1.17 | 1.12 | 0.95,НЕТ
1eeV2mh3_oy8qU3T_dooLzP-8DGbIcvhCjRMKZo2A6zo,O4,,3,2.48,1.17 | 0.81 | 0.50,НЕТ
19pGc9Jk3Fg1140rhiE3N1dENh-MSwC,R5,,3,2.73,1.17 | 0.81 | 0.75,НЕТ
1tgqM0vDtuOObYx6AtJYZ17SmsFJY-p8DZ_6f5tK2rys,O5,,3,2.45,1.16 | 1.09 | 0.20,НЕТ
1nP7pMErdy7QazcrSiLQbB-sXdrIohtp86LwAWWvsXiM,R4,,3,1.86,1.15 | 0.39 | 0.32,НЕТ
1kX8grJtu2IBZfhY8mFudKD8731hdx6VjWdIkQEWBNpY,O4,,3,2.17,1.15 | 0.56 | 0.46,НЕТ
1-d5ReBbtL98hXgktQ4PfVgYRegOR4trRM0TR1qXlAmY,S38,,3,3.45,1.15 | 1.15 | 1.15,ДА
1hjG_3QsILYyVrshmCCkst1hM7huYJ48utlcOnuYF-_I,O4,,3,3.22,1.14 | 1.10 | 0.98,НЕТ
1ESg4mxcRxvxYtx02EfniQLi,R23,,3,2.13,1.14 | 0.67 | 0.32,НЕТ
1QrJiLJDJOa3nhx53wf5x0MzRUqXbIJ5tN8KbVLbv6oI,P70,,3,3.42,1.14 | 1.14 | 1.14,ДА
1QrJiLJDJOa3nhx53wf5x0MzRUqXbIJ5tN8KbVLbv6oI,P73,,3,3.42,1.14 | 1.14 | 1.14,ДА
1SZiwy045NCBXgMXb3to8oPle04LVLSnrOWkAvU1EyEQ,N5,,3,3.05,1.14 | 1.03 | 0.88,НЕТ
1-d5ReBbtL98hXgktQ4PfVgYRegOR4trRM0TR1qXlAmY,S38,2,3,3.42,1.14 | 1.14 | 1.14,ДА
1s_HZHAs78VmnFV0DETltARJgI8t06QuMjGMMUVpFsRA,O23,,3,2.35,1.14 | 0.93 | 0.28,НЕТ
1_OLXHsXbF2vxUaykIcxUq17j52gAd7VQXBF-yOkws8A,O24,,3,2.65,1.13 | 0.78 | 0.74,НЕТ
1_NcsSKbStq-42tpNBrD7AYR0fipSz2Ex58_kiQWaA24,O39,,3,2.35,1.13 | 0.62 | 0.60,НЕТ
1sUvn2lERh5L1t9JXMq3PaLCduS7YVzjiPg0NU_uCvrE,O4,,3,2.58,1.13 | 0.75 | 0.70,НЕТ
1dA1aVcRIrqUF8VX-rq0Prbo7HC8d73e-bo6n8UJESFU,K9,,3,3.39,1.13 | 1.13 | 1.13,ДА
1VSKxppsNNR_8-HpDaFgr-rhj6MUyroEn2PyTCA2yDS0,O4,,3,2.06,1.13 | 0.51 | 0.42,НЕТ
1vDZKVaGrJRklSV96etwEjI1vZwJ5DdXJr4dvjMSJtsQ,M14,,3,3.39,1.13 | 1.13 | 1.13,ДА
