 ,Материал,Ставка ЖД,Ставка АВИА,Код ТНВЭД,Родитель,Медиана цены (₽),Медиана цены (¥),Средний тираж,Плотность (кг/м³),Транспорт ($/кг),Диапазон цен (₽),Диапазон цен (¥),Диапазон плотности,Диапазон тиражей,Диапазон транспорта
флешка,,"37,4","39,5",8523511000,,825,24.0,1500,318.0,$7.5,378 - 900 ₽,10.0 - 23 ¥,200 - 400,269 - 5000,$5.0 - $37.3
футболка,"хлопок, полиэстер, акрил","9,5","11,6",6109100000,,1220,25.5,1500,198.6,$7.9,418 - 2416 ₽,8.7 - 56.5 ¥,126.6 - 316.9,496 - 5719,$5.5 - $11.6
плед,"хлопок, акрил, полиэстер, нейлон, оксфорд, фланель, флис, жаккард","5,3","7,4",6301409000,,1842,37.7,1500,148.0,$6.8,742 - 3906 ₽,15.4 - 90.8 ¥,60 - 222.2,300 - 7500,$5.7 - $9.5
увлажнитель,Пластик ,"5,5","7,6",8509800000,,1273,30.0,750,151.9,$6.5,675 - 2290 ₽,19.4 - 66.5 ¥,104.3 - 268.0,375 - 5000,$4.5 - $8.0
зонт,"полиэстер, Оксфорд, нейлон, эпонж","4,7","6,8",6601910000,,1203,26.1,750,390.6,$6.8,662 - 2292 ₽,14.2 - 53.8 ¥,266.1 - 506.0,228 - 2601,$5.0 - $14.5
часы,"металл, пластик, стекло","4,4","6,5",9105210000,,1422,34.0,612,163.9,$7.0,592 - 3600 ₽,11.3 - 75 ¥,54.8 - 215.1,134 - 1870,$5.0 - $13.1
подушка,"полиэстер, резина, акрил","5,5","7,6",9404908000,,1327,23.5,1375,123.5,$8.4,679 - 3138 ₽,11.8 - 73.0 ¥,48.8 - 183.3,450 - 5625,$6.5 - $12.0
коробка,"картон, ложемент ева/паралон","3,9","5,9",4819500000,,393,7.2,2250,159.6,$6.1,137 - 1419 ₽,2.6 - 34.0 ¥,68.8 - 496.8,500 - 15000,$4.2 - $9.6
органайзер,"Полиэстер, нейлон, хлопок, Оксфорд, плюш, фетр, акрил, кожзам","6,1","8,2",4202929100,,1095,26.5,1050,166.7,$7.1,384 - 3453 ₽,9.5 - 64.0 ¥,98.2 - 278.7,450 - 2970,$6.0 - $9.2
органайзер,кожа,11,"13,1",4202911000,,1095,26.5,1050,166.7,$7.1,384 - 3453 ₽,9.5 - 64.0 ¥,98.2 - 278.7,450 - 2970,$6.0 - $9.2
пенал,"Полиэстер, нейлон, хлопок, Оксфорд, плюш, акрил, кожзам","6,1","8,2",4202929100,,413,8.8,1125,169.0,$7.1,201 - 973 ₽,4.6 - 22.6 ¥,103.1 - 270.9,150 - 4185,$6.0 - $10.6
бейдж," пластик, кожзам","4,2","6,3",3926909200,,127,3.9,2831,419.5,$8.6,59 - 366 ₽,1.3 - 9.6 ¥,147.9 - 400,972 - 13575,$6.0 - $11.2
наушники,Пластик ,"7,8","9,9",8518309500,,1323,40.0,1500,178.2,$9.0,637 - 2363 ₽,15.2 - 64.4 ¥,120.7 - 414.6,240 - 4900,$6.8 - $10.0
блокнот,"бумага, кожа, кожзам, акрил","4,1","6,2",4820103000,,589,10.0,1250,413.7,$5.1,154 - 3327 ₽,2.6 - 109.2 ¥,148.1 - 400,300 - 10500,$4.0 - $7.6
массажер,,"5,4","7,5",9019101000,,1400,33.8,750,246.9,$6.5,536 - 3191 ₽,14.2 - 86.8 ¥,113.2 - 417.2,150 - 2025,$5.3 - $7.8
Посуда,керамика,4,"6,1",6912002100,,1159,28.0,1088,316.0,$5.5,534 - 1811 ₽,10.5 - 39.8 ¥,150 - 300,288 - 9000,$4.5 - $6.8
Посуда,фарфор,4,"6,1",6911100000,,1159,28.0,1088,316.0,$5.5,534 - 1811 ₽,10.5 - 39.8 ¥,150 - 300,288 - 9000,$4.5 - $6.8
проектор,пластик,"27,1","29,2",8528699000,,3094,90.0,806,155.0,$7.0,2000 - 6000 ₽,67 - 200 ¥,96.7 - 251.1,150 - 2550,$5.0 - $16.0
кепка,"хлопок, полиэстер, акрил",5,"7,1",6505003000,,549,15.0,1305,143.2,$7.8,304 - 1336 ₽,7.8 - 29.4 ¥,95.6 - 233.1,480 - 5250,$6.0 - $10.0
картхолдер,"силикон, пластик, полиэстер, кожзам","7,2","9,3",4202321000,,293,8.6,2250,339.2,$7.8,109 - 1019 ₽,3.1 - 35.5 ¥,100 - 300,750 - 10912,$7.1 - $9.4
картхолдер, кожа,"11,1","13,2",4202310000,,293,8.6,2250,339.2,$7.8,109 - 1019 ₽,3.1 - 35.5 ¥,101 - 300,750 - 10912,$7.1 - $9.4
шарф,"хлопок, акрил, полиэстер, нейлон, оксфорд","11,8","13,9",6214300000,,1147,14.9,1500,169.8,$14.6,600 - 1800 ₽,10 - 40 ¥,89.3 - 274.5,376 - 14784,$6.7 - $19.5
перчатки,,"5,9",8,6216000000,,541,14.5,1500,135.4,$8.2,250 - 850 ₽,"5.0 - 26,5 ¥",80 - 300,492 - 26250,$5.9 - $15.6
дождевик,"дюспо, эва, полиэстер",11,"13,2",6202400009,,979,20.0,1500,223.5,$5.0,237 - 137 ₽,5 - 55 ¥,187.0 - 311.8,378 - 6000,$4.7 - $7.0
